"pid","location","city","state","zip"
3001,"35 EDGEMERE RD","New Haven","CT",""
3002,"19 EDGEMERE RD","New Haven","CT",""
3003,"25 EDGEMERE RD","New Haven","CT",""
3004,"86 KENDALL ST","New Haven","CT",""
3005,"80 KENDALL ST","New Haven","CT",""
3006,"173 FULTON TER","New Haven","CT",""
3007,"179 FULTON TER #179","New Haven","CT",""
3008,"181 FULTON TER #181","New Haven","CT",""
3009,"183 FULTON TER #183","New Haven","CT",""
3010,"185 FULTON TER #185","New Haven","CT",""
3011,"195 FULTON TER","New Haven","CT",""
3012,"205 FULTON TER","New Haven","CT",""
3013,"FULTON TER","New Haven","CT",""
3014,"225 FULTON TER","New Haven","CT",""
3015,"384 FORBES AV","New Haven","CT",""
3016,"304 FORBES AV #304","New Haven","CT",""
3017,"306 FORBES AV #306","New Haven","CT",""
3018,"308 FORBES AV #308","New Haven","CT",""
3019,"310 FORBES AV #310","New Haven","CT",""
3020,"312 FORBES AV #312","New Haven","CT",""
3021,"314 FORBES AV #314","New Haven","CT",""
3022,"316 FORBES AV #316","New Haven","CT",""
3023,"318 FORBES AV #318","New Haven","CT",""
3024,"330 FORBES AV #330","New Haven","CT",""
3025,"332 FORBES AV #332","New Haven","CT",""
3026,"334 FORBES AV #334","New Haven","CT",""
3027,"336 FORBES AV #336","New Haven","CT",""
3028,"338 FORBES AV #338","New Haven","CT",""
3029,"340 FORBES AV #340","New Haven","CT",""
3030,"342 FORBES AV #342","New Haven","CT",""
3031,"344 FORBES AV #344","New Haven","CT",""
3032,"346 FORBES AV #346","New Haven","CT",""
3033,"348 FORBES AV #348","New Haven","CT",""
3034,"320 FORBES AV #320","New Haven","CT",""
3035,"322 FORBES AV #322","New Haven","CT",""
3036,"324 FORBES AV #324","New Haven","CT",""
3037,"326 FORBES AV #326","New Haven","CT",""
3038,"328 FORBES AV #328","New Haven","CT",""
3039,"5 CHAMBERLAIN ST #5","New Haven","CT",""
3040,"7 CHAMBERLAIN ST #7","New Haven","CT",""
3041,"9 CHAMBERLAIN ST #9","New Haven","CT",""
3042,"294 FORBES AV #294","New Haven","CT",""
3043,"296 FORBES AV #296","New Haven","CT",""
3044,"298 FORBES AV #298","New Haven","CT",""
3045,"300 FORBES AV #300","New Haven","CT",""
3046,"302 FORBES AV #302","New Haven","CT",""
3047,"350 FORBES AV #350","New Haven","CT",""
3048,"354 FORBES AV #354","New Haven","CT",""
3049,"21 CHAMBERLAIN ST #21","New Haven","CT",""
3050,"23 CHAMBERLAIN ST #23","New Haven","CT",""
3051,"25 CHAMBERLAIN ST #25","New Haven","CT",""
3052,"29 CHAMBERLAIN ST","New Haven","CT",""
3053,"43 CHAMBERLAIN ST","New Haven","CT",""
3054,"53 CHAMBERLAIN ST","New Haven","CT",""
3055,"55 CHAMBERLAIN ST","New Haven","CT",""
3056,"63 CHAMBERLAIN ST","New Haven","CT",""
3057,"67 CHAMBERLAIN ST","New Haven","CT",""
3058,"73 CHAMBERLAIN ST","New Haven","CT",""
3059,"79 CHAMBERLAIN ST","New Haven","CT",""
3060,"83 CHAMBERLAIN ST","New Haven","CT",""
3061,"40 FAIRMONT AV","New Haven","CT",""
3062,"87 CHAMBERLAIN ST","New Haven","CT",""
3063,"36 FAIRMONT AV","New Haven","CT",""
3064,"830 WOODWARD AV","New Haven","CT",""
3065,"816 WOODWARD AV","New Haven","CT",""
3066,"WOODWARD AV","New Haven","CT",""
3067,"810 WOODWARD AV","New Haven","CT",""
3068,"416 FORBES AV","New Haven","CT",""
3069,"396 FORBES AV","New Haven","CT",""
3070,"FORBES AV","New Haven","CT",""
3071,"6 BROWN PL","New Haven","CT",""
3072,"8 BROWN PL","New Haven","CT",""
3073,"10 BROWN PL","New Haven","CT",""
3074,"12 BROWN PL","New Haven","CT",""
3075,"14 BROWN PL","New Haven","CT",""
3076,"1330 TOWNSEND AV","New Haven","CT",""
3077,"1324 TOWNSEND AV","New Haven","CT",""
3078,"1318 TOWNSEND AV","New Haven","CT",""
3079,"1314 TOWNSEND AV","New Haven","CT",""
3080,"1308 TOWNSEND AV","New Haven","CT",""
3081,"1302 TOWNSEND AV","New Haven","CT",""
3082,"1296 TOWNSEND AV","New Haven","CT",""
3083,"1290 TOWNSEND AV","New Haven","CT",""
3084,"1280 TOWNSEND AV","New Haven","CT",""
3085,"1274 TOWNSEND AV","New Haven","CT",""
3086,"1270 TOWNSEND AV","New Haven","CT",""
3087,"1266 TOWNSEND AV","New Haven","CT",""
3088,"1260 TOWNSEND AV","New Haven","CT",""
3089,"1254 TOWNSEND AV","New Haven","CT",""
3090,"1250 TOWNSEND AV","New Haven","CT",""
3091,"1246 TOWNSEND AV","New Haven","CT",""
3092,"1242 TOWNSEND AV","New Haven","CT",""
3093,"TOWNSEND AV","New Haven","CT",""
3094,"TOWNSEND AV","New Haven","CT",""
3095,"FORBES AV","New Haven","CT",""
3096,"458 FORBES AV","New Haven","CT",""
3097,"454 FORBES AV","New Haven","CT",""
3098,"452 FORBES AV","New Haven","CT",""
3099,"442 FORBES AV","New Haven","CT",""
