"pid","location","city","state","zip"
21001,"90 DORMAN ST","New Haven","CT",""
21002,"86 DORMAN ST","New Haven","CT",""
21003,"82 DORMAN ST","New Haven","CT",""
21004,"76 DORMAN ST","New Haven","CT",""
21005,"70 DORMAN ST","New Haven","CT",""
21006,"311 BASSETT ST","New Haven","CT",""
21007,"317 BASSETT ST","New Haven","CT",""
21008,"323 BASSETT ST","New Haven","CT",""
21009,"327 BASSETT ST","New Haven","CT",""
21010,"331 BASSETT ST","New Haven","CT",""
21011,"867 SHERMAN AV","New Haven","CT",""
21012,"62 DORMAN ST","New Haven","CT",""
21013,"58 DORMAN ST","New Haven","CT",""
21014,"56 DORMAN ST","New Haven","CT",""
21015,"50 DORMAN ST","New Haven","CT",""
21016,"46 DORMAN ST","New Haven","CT",""
21017,"42 DORMAN ST","New Haven","CT",""
21018,"38 DORMAN ST","New Haven","CT",""
21019,"28 DORMAN ST","New Haven","CT",""
21020,"26 DORMAN ST","New Haven","CT",""
21021,"24 DORMAN ST","New Haven","CT",""
21022,"20 DORMAN ST","New Haven","CT",""
21023,"16 DORMAN ST","New Haven","CT",""
21024,"736 DIXWELL AV","New Haven","CT",""
21025,"734 DIXWELL AV","New Haven","CT",""
21026,"716 DIXWELL AV","New Haven","CT",""
21027,"714 DIXWELL AV","New Haven","CT",""
21028,"255 BASSETT ST","New Haven","CT",""
21029,"257 BASSETT ST","New Haven","CT",""
21030,"261 BASSETT ST","New Haven","CT",""
21031,"265 BASSETT ST","New Haven","CT",""
21032,"271 BASSETT ST","New Haven","CT",""
21033,"275 BASSETT ST","New Haven","CT",""
21034,"279 BASSETT ST","New Haven","CT",""
21035,"281 BASSETT ST","New Haven","CT",""
21036,"285 BASSETT ST","New Haven","CT",""
21037,"295 BASSETT ST","New Haven","CT",""
21038,"91 DORMAN ST","New Haven","CT",""
21039,"94 POND ST","New Haven","CT",""
21040,"90 POND ST","New Haven","CT",""
21041,"86 POND ST","New Haven","CT",""
21042,"84 POND ST","New Haven","CT",""
21043,"80 POND ST","New Haven","CT",""
21044,"74 POND ST","New Haven","CT",""
21045,"70 POND ST","New Haven","CT",""
21046,"SHERMAN AV","New Haven","CT",""
21047,"71 DORMAN ST","New Haven","CT",""
21048,"75 DORMAN ST","New Haven","CT",""
21049,"79 DORMAN ST","New Haven","CT",""
21050,"85 DORMAN ST","New Haven","CT",""
21051,"89 DORMAN ST","New Haven","CT",""
21052,"59 DORMAN ST","New Haven","CT",""
21053,"55 DORMAN ST","New Haven","CT",""
21054,"64 POND ST","New Haven","CT",""
21055,"62 POND ST","New Haven","CT",""
21056,"58 POND ST","New Haven","CT",""
21057,"54 POND ST","New Haven","CT",""
21058,"50 POND ST","New Haven","CT",""
21059,"48 POND ST","New Haven","CT",""
21060,"44 POND ST","New Haven","CT",""
21061,"38 POND ST","New Haven","CT",""
21062,"34 POND ST","New Haven","CT",""
21063,"28 POND ST","New Haven","CT",""
21064,"24 POND ST","New Haven","CT",""
21065,"18 POND ST","New Haven","CT",""
21066,"16 POND ST","New Haven","CT",""
21067,"768 DIXWELL AV","New Haven","CT",""
21068,"762 DIXWELL AV","New Haven","CT",""
21069,"758 DIXWELL AV","New Haven","CT",""
21070,"752 DIXWELL AV","New Haven","CT",""
21071,"748 DIXWELL AV","New Haven","CT",""
21072,"744 DIXWELL AV","New Haven","CT",""
21073,"740 DIXWELL AV","New Haven","CT",""
21074,"11 DORMAN ST","New Haven","CT",""
21075,"15 DORMAN ST","New Haven","CT",""
21076,"19 DORMAN ST","New Haven","CT",""
21077,"23 DORMAN ST","New Haven","CT",""
21078,"29 DORMAN ST","New Haven","CT",""
21079,"33 DORMAN ST","New Haven","CT",""
21080,"37 DORMAN ST","New Haven","CT",""
21081,"43 DORMAN ST","New Haven","CT",""
21082,"45 DORMAN ST","New Haven","CT",""
21083,"51 DORMAN ST","New Haven","CT",""
21084,"93 POND ST","New Haven","CT",""
21085,"94 ELIZABETH ST","New Haven","CT",""
21086,"92 ELIZABETH ST","New Haven","CT",""
21087,"84 ELIZABETH ST","New Haven","CT",""
21088,"80 ELIZABETH ST","New Haven","CT",""
21089,"944 SHERMAN AV","New Haven","CT",""
21090,"69 POND ST","New Haven","CT",""
21091,"71 POND ST","New Haven","CT",""
21092,"77 POND ST","New Haven","CT",""
21093,"85 POND ST","New Haven","CT",""
21094,"91 POND ST","New Haven","CT",""
21095,"63 POND ST","New Haven","CT",""
21096,"945 SHERMAN AV","New Haven","CT",""
21097,"54 ELIZABETH ST","New Haven","CT",""
21098,"46 ELIZABETH ST","New Haven","CT",""
21099,"42 ELIZABETH ST","New Haven","CT",""
21100,"38 ELIZABETH ST","New Haven","CT",""
21101,"32 ELIZABETH ST","New Haven","CT",""
21102,"ELIZABETH ST","New Haven","CT",""
21103,"20 ELIZABETH ST","New Haven","CT",""
21104,"786 DIXWELL AV","New Haven","CT",""
21105,"782 DIXWELL AV","New Haven","CT",""
21106,"19 POND ST","New Haven","CT",""
21107,"21 POND ST","New Haven","CT",""
21108,"23 POND ST","New Haven","CT",""
21109,"27 POND ST","New Haven","CT",""
21110,"37 POND ST","New Haven","CT",""
21111,"41 POND ST","New Haven","CT",""
21112,"47 POND ST","New Haven","CT",""
21113,"51 POND ST","New Haven","CT",""
21114,"55 POND ST","New Haven","CT",""
21115,"95 ELIZABETH ST","New Haven","CT",""
21116,"96 CHERRY ANN ST","New Haven","CT",""
21117,"90 CHERRY ANN ST","New Haven","CT",""
21118,"84 CHERRY ANN ST","New Haven","CT",""
21119,"82 CHERRY ANN ST","New Haven","CT",""
21120,"78 CHERRY ANN ST","New Haven","CT",""
21121,"970 SHERMAN AV","New Haven","CT",""
21122,"69 ELIZABETH ST","New Haven","CT",""
21123,"73 ELIZABETH ST","New Haven","CT",""
21124,"79 ELIZABETH ST","New Haven","CT",""
21125,"83 ELIZABETH ST","New Haven","CT",""
21126,"87 ELIZABETH ST","New Haven","CT",""
21127,"65 ELIZABETH ST","New Haven","CT",""
21128,"963 SHERMAN AV","New Haven","CT",""
21129,"967 SHERMAN AV","New Haven","CT",""
21130,"971 SHERMAN AV","New Haven","CT",""
21131,"52 CHERRY ANN ST","New Haven","CT",""
21132,"50 CHERRY ANN ST","New Haven","CT",""
21133,"48 CHERRY ANN ST","New Haven","CT",""
21134,"44 CHERRY ANN ST","New Haven","CT",""
21135,"26 CHERRY ANN ST","New Haven","CT",""
21136,"22 CHERRY ANN ST","New Haven","CT",""
21137,"10 CHERRY ANN ST","New Haven","CT",""
21138,"DIXWELL AV","New Haven","CT",""
21139,"808 DIXWELL AV","New Haven","CT",""
21140,"794 DIXWELL AV","New Haven","CT",""
21141,"13 ELIZABETH ST","New Haven","CT",""
21142,"17 ELIZABETH ST","New Haven","CT",""
21143,"21 ELIZABETH ST","New Haven","CT",""
21144,"25 ELIZABETH ST","New Haven","CT",""
21145,"29 ELIZABETH ST","New Haven","CT",""
21146,"33 ELIZABETH ST","New Haven","CT",""
