"pid","location","city","state","zip"
22001,"742 ELM ST","New Haven","CT",""
22002,"736 ELM ST","New Haven","CT",""
22003,"732 ELM ST","New Haven","CT",""
22004,"726 ELM ST","New Haven","CT",""
22005,"722 ELM ST","New Haven","CT",""
22006,"382 WINTHROP AV","New Haven","CT",""
22007,"380 WINTHROP AV","New Haven","CT",""
22008,"376 WINTHROP AV","New Haven","CT",""
22009,"374 WINTHROP AV","New Haven","CT",""
22010,"75 MAPLE ST","New Haven","CT",""
22011,"79 MAPLE ST","New Haven","CT",""
22012,"165 NORTON ST","New Haven","CT",""
22013,"167 NORTON ST","New Haven","CT",""
22014,"171 NORTON ST","New Haven","CT",""
22015,"177 NORTON ST","New Haven","CT",""
22016,"179 NORTON ST","New Haven","CT",""
22017,"1427 ELLA T GRASSO BLVD","New Haven","CT",""
22018,"825 ELM ST","New Haven","CT",""
22019,"226 ELLSWORTH AV","New Haven","CT",""
22020,"468 WHALLEY AV","New Haven","CT",""
22021,NA,"New Haven","CT",""
22022,"436 WHALLEY AV","New Haven","CT",""
22023,"1445 ELLA T GRASSO BLVD","New Haven","CT",""
22024,"424 WHALLEY AV","New Haven","CT",""
22025,"416 WHALLEY AV","New Haven","CT",""
22026,"412 WHALLEY AV","New Haven","CT",""
22027,"408 WHALLEY AV","New Haven","CT",""
22028,"400 WHALLEY AV","New Haven","CT",""
22029,"396 WHALLEY AV","New Haven","CT",""
22030,"388 WHALLEY AV","New Haven","CT",""
22031,NA,"New Haven","CT",""
22032,"765 ELM ST","New Haven","CT",""
22033,"777 ELM ST","New Haven","CT",""
22034,"781 ELM ST","New Haven","CT",""
22035,"783 ELM ST","New Haven","CT",""
22036,"787 ELM ST","New Haven","CT",""
22037,"791 ELM ST","New Haven","CT",""
22038,"799 ELM ST","New Haven","CT",""
22039,"241 ELLSWORTH AV","New Haven","CT",""
22040,"243 ELLSWORTH AV","New Haven","CT",""
22041,"245 ELLSWORTH AV","New Haven","CT",""
22042,"249 ELLSWORTH AV","New Haven","CT",""
22043,"376 WHALLEY AV","New Haven","CT",""
22044,NA,"New Haven","CT",""
22045,"374 WHALLEY AV","New Haven","CT",""
22046,"372 WHALLEY AV","New Haven","CT",""
22047,"366 WHALLEY AV","New Haven","CT",""
22048,"352 WHALLEY AV","New Haven","CT",""
22049,"422 WINTHROP AV","New Haven","CT",""
