"pid","location","city","state","zip"
17001,"HENRY ST","New Haven","CT",""
17002,"32 HENRY ST","New Haven","CT",""
17003,"30 HENRY ST","New Haven","CT",""
17004,"28 HENRY ST","New Haven","CT",""
17005,NA,"New Haven","CT",""
17006,"230 ASHMUN ST","New Haven","CT",""
17007,"69 WEBSTER ST","New Haven","CT",""
17008,NA,"New Haven","CT",""
17009,"187 DIXWELL AV","New Haven","CT",""
17010,"64 GREGORY ST","New Haven","CT",""
17011,"16 ADMIRAL ST","New Haven","CT",""
17012,"195 DIXWELL AV","New Haven","CT",""
17013,"217 DIXWELL AV","New Haven","CT",""
17014,"197 DIXWELL AV","New Haven","CT",""
17015,"229 DIXWELL AV","New Haven","CT",""
17016,NA,"New Haven","CT",""
17017,"235 DIXWELL AV","New Haven","CT",""
17018,"241 DIXWELL AV","New Haven","CT",""
17019,"82 ADMIRAL ST","New Haven","CT",""
17020,"80 ADMIRAL ST","New Haven","CT",""
17021,"70 ADMIRAL ST","New Haven","CT",""
17022,"68 ADMIRAL ST","New Haven","CT",""
17023,"66 ADMIRAL ST","New Haven","CT",""
17024,"64 ADMIRAL ST","New Haven","CT",""
17025,"62 ADMIRAL ST","New Haven","CT",""
17026,"60 ADMIRAL ST","New Haven","CT",""
17027,"50 ADMIRAL ST","New Haven","CT",""
17028,"48 ADMIRAL ST","New Haven","CT",""
17029,"44 ADMIRAL ST","New Haven","CT",""
17030,NA,"New Haven","CT",""
17031,"340 DIXWELL AV","New Haven","CT",""
17032,NA,"New Haven","CT",""
17033,"316 DIXWELL AV","New Haven","CT",""
17034,"314 DIXWELL AV","New Haven","CT",""
17035,"312 DIXWELL AV","New Haven","CT",""
17036,"310 DIXWELL AV","New Haven","CT",""
17037,"308 DIXWELL AV","New Haven","CT",""
17038,"306 DIXWELL AV","New Haven","CT",""
17039,"304 DIXWELL AV","New Haven","CT",""
17040,"300 DIXWELL AV","New Haven","CT",""
17041,"294 DIXWELL AV","New Haven","CT",""
17042,"288 DIXWELL AV","New Haven","CT",""
17043,"127 HENRY ST","New Haven","CT",""
17044,"131 HENRY ST","New Haven","CT",""
17045,"133 HENRY ST","New Haven","CT",""
17046,"139 HENRY ST","New Haven","CT",""
17047,"147 HENRY ST","New Haven","CT",""
17048,"759 ORCHARD ST","New Haven","CT",""
17049,"763 ORCHARD ST","New Haven","CT",""
17050,NA,"New Haven","CT",""
17051,"ORCHARD ST","New Haven","CT",""
17052,"781 ORCHARD ST","New Haven","CT",""
17053,"783 ORCHARD ST","New Haven","CT",""
17054,"7 SHELTON AV","New Haven","CT",""
17055,NA,"New Haven","CT",""
17056,"260 MUNSON ST","New Haven","CT",""
17057,"238 MUNSON ST","New Haven","CT",""
17058,"234 MUNSON ST","New Haven","CT",""
17059,"232 MUNSON ST","New Haven","CT",""
17060,"228 MUNSON ST","New Haven","CT",""
17061,"224 MUNSON ST","New Haven","CT",""
17062,"220 MUNSON ST","New Haven","CT",""
17063,"218 MUNSON ST","New Haven","CT",""
17064,"216 MUNSON ST","New Haven","CT",""
17065,"214 MUNSON ST","New Haven","CT",""
17066,"212 MUNSON ST","New Haven","CT",""
17067,"210 MUNSON ST","New Haven","CT",""
17068,"208 MUNSON ST","New Haven","CT",""
17069,"206 MUNSON ST","New Haven","CT",""
17070,"204 MUNSON ST","New Haven","CT",""
17071,NA,"New Haven","CT",""
17072,"320 ASHMUN ST","New Haven","CT",""
17073,NA,"New Haven","CT",""
17074,"31 HENRY ST","New Haven","CT",""
17075,"33 HENRY ST","New Haven","CT",""
17076,"37 HENRY ST","New Haven","CT",""
17077,"39 HENRY ST","New Haven","CT",""
17078,"41 HENRY ST","New Haven","CT",""
17079,"43 HENRY ST","New Haven","CT",""
17080,"49 HENRY ST","New Haven","CT",""
17081,"51 HENRY ST","New Haven","CT",""
17082,"57 HENRY ST","New Haven","CT",""
17083,"59 HENRY ST","New Haven","CT",""
17084,"65 HENRY ST","New Haven","CT",""
17085,"69 HENRY ST","New Haven","CT",""
17086,"73 HENRY ST","New Haven","CT",""
17087,"75 HENRY ST","New Haven","CT",""
17088,"81 HENRY ST","New Haven","CT",""
17089,"85 HENRY ST","New Haven","CT",""
17090,"89 HENRY ST","New Haven","CT",""
17091,"91 HENRY ST","New Haven","CT",""
17092,"93 HENRY ST","New Haven","CT",""
17093,"101 HENRY ST","New Haven","CT",""
17094,"287 DIXWELL AV","New Haven","CT",""
17095,"297 DIXWELL AV","New Haven","CT",""
17096,"309 DIXWELL AV","New Haven","CT",""
17097,NA,"New Haven","CT",""
17098,"317 DIXWELL AV","New Haven","CT",""
17099,"321 DIXWELL AV","New Haven","CT",""
17100,"325 DIXWELL AV","New Haven","CT",""
17101,"329 DIXWELL AV","New Haven","CT",""
17102,"1 SHELTON AV","New Haven","CT",""
17103,"HENRY ST","New Haven","CT",""
17104,"201 MUNSON ST","New Haven","CT",""
17105,"GIBBS ST","New Haven","CT",""
17106,"241 MUNSON ST","New Haven","CT",""
17107,"243 MUNSON ST","New Haven","CT",""
17108,"245 MUNSON ST","New Haven","CT",""
17109,"247 MUNSON ST","New Haven","CT",""
17110,"249 MUNSON ST","New Haven","CT",""
17111,"269 MUNSON ST","New Haven","CT",""
17112,"271 MUNSON ST","New Haven","CT",""
17113,"273 MUNSON ST","New Haven","CT",""
17114,"277 MUNSON ST","New Haven","CT",""
17115,"281 MUNSON ST","New Haven","CT",""
17116,"283 MUNSON ST","New Haven","CT",""
17117,"13 SHELTON AV","New Haven","CT",""
17118,"17 SHELTON AV","New Haven","CT",""
17119,"19 SHELTON AV","New Haven","CT",""
17120,"21 SHELTON AV","New Haven","CT",""
17121,"23 SHELTON AV","New Haven","CT",""
17122,"25 SHELTON AV","New Haven","CT",""
17123,"27 SHELTON AV","New Haven","CT",""
17124,"33 SHELTON AV","New Haven","CT",""
17125,"35 SHELTON AV","New Haven","CT",""
17126,"47 SHELTON AV","New Haven","CT",""
17127,"53 SHELTON AV","New Haven","CT",""
17128,"57 SHELTON AV","New Haven","CT",""
17129,"59 SHELTON AV","New Haven","CT",""
17130,"61 SHELTON AV","New Haven","CT",""
17131,"71 SHELTON AV","New Haven","CT",""
17132,"99 SHELTON AV","New Haven","CT",""
17133,NA,"New Haven","CT",""
17134,NA,"New Haven","CT",""
