"pid","location","city","state","zip"
10001,"505 EAST ST","New Haven","CT",""
10002,"507 EAST ST","New Haven","CT",""
10003,"511 EAST ST","New Haven","CT",""
10004,"545 EAST ST","New Haven","CT",""
10005,"543 EAST ST","New Haven","CT",""
10006,"539 EAST ST","New Haven","CT",""
10007,"535 EAST ST","New Haven","CT",""
10008,"533 EAST ST","New Haven","CT",""
10009,"531 EAST ST","New Haven","CT",""
10010,"519 EAST ST","New Haven","CT",""
10011,"159 HUMPHREY ST","New Haven","CT",""
10012,"155 HUMPHREY ST","New Haven","CT",""
10013,"151 HUMPHREY ST","New Haven","CT",""
10014,"54 MILL RIVER ST","New Haven","CT",""
10015,"62 MILL RIVER ST","New Haven","CT",""
10016,"MILL RIVER ST","New Haven","CT",""
10017,"62 MILL RIVER ST","New Haven","CT",""
10018,"64 MILL RIVER ST","New Haven","CT",""
10019,"68 MILL RIVER ST","New Haven","CT",""
10020,"70 MILL RIVER ST","New Haven","CT",""
10021,"72 MILL RIVER ST","New Haven","CT",""
10022,"83 MILL RIVER ST","New Haven","CT",""
10023,"81 MILL RIVER ST","New Haven","CT",""
10024,"79 MILL RIVER ST","New Haven","CT",""
10025,"75 MILL RIVER ST","New Haven","CT",""
10026,"67 MILL RIVER ST","New Haven","CT",""
10027,"51 MILL RIVER ST","New Haven","CT",""
10028,"HUMPHREY ST","New Haven","CT",""
10029,"33 HUMPHREY ST","New Haven","CT",""
10030,"JAMES ST","New Haven","CT",""
10031,"JAMES ST","New Haven","CT",""
10032,"470 JAMES ST","New Haven","CT",""
10033,"111 MARKET ST","New Haven","CT",""
10034,"JOHN W MURPHY DR","New Haven","CT",""
10035,"360 JAMES ST","New Haven","CT",""
10036,"370 JAMES ST","New Haven","CT",""
10037,"100 JOHN W MURPHY DR","New Haven","CT",""
10038,"328 JAMES ST","New Haven","CT",""
10039,"WILLOW ST","New Haven","CT",""
10040,"1041 STATE ST","New Haven","CT",""
10041,"STATE ST","New Haven","CT",""
10042,"MILL RIVER ST","New Haven","CT",""
10043,"181 MITCHELL DR","New Haven","CT",""
10044,"208 VIEW ST","New Haven","CT",""
10045,"212 VIEW ST","New Haven","CT",""
10046,"218 VIEW ST","New Haven","CT",""
10047,"222 VIEW ST","New Haven","CT",""
10048,"228 VIEW ST","New Haven","CT",""
10049,"232 VIEW ST","New Haven","CT",""
10050,"236 VIEW ST","New Haven","CT",""
10051,"248 VIEW ST","New Haven","CT",""
10052,"274 VIEW ST","New Haven","CT",""
10053,"306 VIEW ST","New Haven","CT",""
10054,"258 VIEW ST","New Haven","CT",""
10055,"276 VIEW ST","New Haven","CT",""
10056,"280 VIEW ST","New Haven","CT",""
10057,"77 ROCK ST","New Haven","CT",""
10058,"69 ROCK ST","New Haven","CT",""
10059,"73 ROCK ST","New Haven","CT",""
10060,"45 ROCK ST","New Haven","CT",""
10061,"47 ROCK ST","New Haven","CT",""
10062,"51 ROCK ST","New Haven","CT",""
10063,"53 ROCK ST","New Haven","CT",""
10064,"63 ROCK ST","New Haven","CT",""
10065,"65 ROCK ST","New Haven","CT",""
10066,"ORANGE ST","New Haven","CT",""
10067,"COLD SPRING ST","New Haven","CT",""
10068,"167 LIVINGSTON ST","New Haven","CT",""
10069,"152 CANNER ST","New Haven","CT",""
10070,"148 CANNER ST","New Haven","CT",""
10071,"140 CANNER ST","New Haven","CT",""
10072,"136 CANNER ST","New Haven","CT",""
10073,"132 CANNER ST","New Haven","CT",""
10074,NA,"New Haven","CT",""
10075,"122 CANNER ST","New Haven","CT",""
10076,"114 CANNER ST","New Haven","CT",""
10077,"108 CANNER ST","New Haven","CT",""
10078,"104 CANNER ST","New Haven","CT",""
10079,"830 ORANGE ST","New Haven","CT",""
10080,"826 ORANGE ST","New Haven","CT",""
10081,"820 ORANGE ST","New Haven","CT",""
10082,"816 ORANGE ST","New Haven","CT",""
10083,"812 ORANGE ST","New Haven","CT",""
10084,"806 ORANGE ST","New Haven","CT",""
10085,"800 ORANGE ST","New Haven","CT",""
10086,"794 ORANGE ST","New Haven","CT",""
10087,"243 WILLOW ST","New Haven","CT",""
10088,"249 WILLOW ST","New Haven","CT",""
10089,"253 WILLOW ST","New Haven","CT",""
10090,"257 WILLOW ST","New Haven","CT",""
10091,"261 WILLOW ST","New Haven","CT",""
10092,"265 WILLOW ST","New Haven","CT",""
10093,"273 WILLOW ST","New Haven","CT",""
10094,"277 WILLOW ST","New Haven","CT",""
10095,"279 WILLOW ST","New Haven","CT",""
10096,"281 WILLOW ST","New Haven","CT",""
10097,"285 WILLOW ST","New Haven","CT",""
10098,"289 WILLOW ST","New Haven","CT",""
10099,NA,"New Haven","CT",""
10100,NA,"New Haven","CT",""
10101,"151 LIVINGSTON ST","New Haven","CT",""
10102,"153 LIVINGSTON ST","New Haven","CT",""
10103,"163 LIVINGSTON ST","New Haven","CT",""
10104,"829 ORANGE ST","New Haven","CT",""
10105,"72 CANNER ST","New Haven","CT",""
10106,"68 CANNER ST","New Haven","CT",""
10107,"64 CANNER ST","New Haven","CT",""
10108,"60 CANNER ST","New Haven","CT",""
10109,"56 CANNER ST","New Haven","CT",""
10110,"20 ANDERSON ST","New Haven","CT",""
10111,"18 ANDERSON ST","New Haven","CT",""
10112,"16 ANDERSON ST","New Haven","CT",""
10113,"14 ANDERSON ST","New Haven","CT",""
10114,"189 WILLOW ST","New Haven","CT",""
10115,"191 WILLOW ST","New Haven","CT",""
10116,"193 WILLOW ST","New Haven","CT",""
10117,"209 WILLOW ST","New Haven","CT",""
10118,"213 WILLOW ST","New Haven","CT",""
10119,"215 WILLOW ST","New Haven","CT",""
10120,"797 ORANGE ST","New Haven","CT",""
10121,"801 ORANGE ST","New Haven","CT",""
10122,"805 ORANGE ST","New Haven","CT",""
10123,"809 ORANGE ST","New Haven","CT",""
10124,"813 ORANGE ST","New Haven","CT",""
10125,"817 ORANGE ST","New Haven","CT",""
10126,"821 ORANGE ST","New Haven","CT",""
10127,"825 ORANGE ST","New Haven","CT",""
10128,"52 CANNER ST","New Haven","CT",""
10129,"42 CANNER ST","New Haven","CT",""
10130,"40 CANNER ST","New Haven","CT",""
10131,"38 CANNER ST","New Haven","CT",""
10132,"198 FOSTER ST","New Haven","CT",""
10133,"196 FOSTER ST","New Haven","CT",""
10134,"192 FOSTER ST","New Haven","CT",""
10135,"182 FOSTER ST","New Haven","CT",""
10136,"178 FOSTER ST","New Haven","CT",""
10137,"172 FOSTER ST","New Haven","CT",""
10138,"165 WILLOW ST","New Haven","CT",""
10139,"167 WILLOW ST","New Haven","CT",""
10140,"169 WILLOW ST","New Haven","CT",""
10141,"177 WILLOW ST","New Haven","CT",""
10142,"179 WILLOW ST","New Haven","CT",""
10143,"181 WILLOW ST","New Haven","CT",""
10144,"185 WILLOW ST","New Haven","CT",""
10145,"11 ANDERSON ST","New Haven","CT",""
10146,"13 ANDERSON ST","New Haven","CT",""
10147,"15 ANDERSON ST","New Haven","CT",""
10148,"17 ANDERSON ST","New Haven","CT",""
10149,"19 ANDERSON ST","New Haven","CT",""
10150,"21 ANDERSON ST","New Haven","CT",""
10151,"219 LIVINGSTON ST","New Haven","CT",""
10152,"98 COLD SPRING ST","New Haven","CT",""
10153,"CANNER ST","New Haven","CT",""
10154,"88 COLD SPRING ST","New Haven","CT",""
10155,"80 COLD SPRING ST","New Haven","CT",""
10156,"74 COLD SPRING ST","New Haven","CT",""
10157,"68 COLD SPRING ST","New Haven","CT",""
10158,"64 COLD SPRING ST","New Haven","CT",""
10159,"56 COLD SPRING ST","New Haven","CT",""
10160,"50 COLD SPRING ST","New Haven","CT",""
10161,"44 COLD SPRING ST","New Haven","CT",""
10162,"866 ORANGE ST","New Haven","CT",""
10163,"862 ORANGE ST","New Haven","CT",""
10164,"858 ORANGE ST","New Haven","CT",""
10165,"852 ORANGE ST","New Haven","CT",""
10166,NA,"New Haven","CT",""
10167,"844 ORANGE ST","New Haven","CT",""
10168,"95 CANNER ST","New Haven","CT",""
10169,"101 CANNER ST","New Haven","CT",""
10170,"105 CANNER ST","New Haven","CT",""
10171,"109 CANNER ST","New Haven","CT",""
10172,"113 CANNER ST","New Haven","CT",""
10173,"117 CANNER ST","New Haven","CT",""
10174,"121 CANNER ST","New Haven","CT",""
10175,"125 CANNER ST","New Haven","CT",""
10176,"131 CANNER ST","New Haven","CT",""
10177,"135 CANNER ST","New Haven","CT",""
10178,"139 CANNER ST","New Haven","CT",""
10179,"147 CANNER ST","New Haven","CT",""
10180,"151 CANNER ST","New Haven","CT",""
10181,"173 LIVINGSTON ST","New Haven","CT",""
10182,"177 LIVINGSTON ST","New Haven","CT",""
10183,"183 LIVINGSTON ST","New Haven","CT",""
10184,"189 LIVINGSTON ST","New Haven","CT",""
10185,"195 LIVINGSTON ST","New Haven","CT",""
10186,"199 LIVINGSTON ST","New Haven","CT",""
10187,"205 LIVINGSTON ST","New Haven","CT",""
10188,"209 LIVINGSTON ST","New Haven","CT",""
10189,"215 LIVINGSTON ST","New Haven","CT",""
10190,"883 ORANGE ST","New Haven","CT",""
10191,"200 MITCHELL DR","New Haven","CT",""
10192,"192 MITCHELL DR","New Haven","CT",""
10193,"184 MITCHELL DR","New Haven","CT",""
10194,NA,"New Haven","CT",""
10195,"869 ORANGE ST #2E","New Haven","CT",""
10196,"869 ORANGE ST #3E","New Haven","CT",""
10197,"869 ORANGE ST #4E","New Haven","CT",""
10198,"869 ORANGE ST #5E","New Haven","CT",""
10199,"869 ORANGE ST #6E","New Haven","CT",""
10200,"869 ORANGE ST #7E","New Haven","CT",""
10201,"869 ORANGE ST #8E","New Haven","CT",""
10202,"869 ORANGE ST #9E","New Haven","CT",""
10203,"869 ORANGE ST #10E","New Haven","CT",""
10204,"869 ORANGE ST #1W","New Haven","CT",""
10205,"869 ORANGE ST #2W","New Haven","CT",""
10206,"869 ORANGE ST #3W","New Haven","CT",""
10207,"869 ORANGE ST #4W","New Haven","CT",""
10208,"869 ORANGE ST #5W","New Haven","CT",""
10209,"869 ORANGE ST #6W","New Haven","CT",""
10210,"869 ORANGE ST #7W","New Haven","CT",""
10211,"869 ORANGE ST #8W","New Haven","CT",""
10212,"869 ORANGE ST #9W","New Haven","CT",""
10213,"869 ORANGE ST #10W","New Haven","CT",""
10214,"869 ORANGE ST #1E","New Haven","CT",""
10215,"66 ANDERSON ST","New Haven","CT",""
10216,"62 ANDERSON ST","New Haven","CT",""
10217,"58 ANDERSON ST","New Haven","CT",""
10218,"54 ANDERSON ST","New Haven","CT",""
10219,"61 CANNER ST","New Haven","CT",""
10220,"63 CANNER ST","New Haven","CT",""
10221,"63 CANNER ST #.5","New Haven","CT",""
10222,"65 CANNER ST","New Haven","CT",""
10223,"69 CANNER ST","New Haven","CT",""
10224,"71 CANNER ST","New Haven","CT",""
10225,"835 ORANGE ST","New Haven","CT",""
10226,"841 ORANGE ST","New Haven","CT",""
10227,"845 ORANGE ST","New Haven","CT",""
10228,"851 ORANGE ST","New Haven","CT",""
10229,"855 ORANGE ST","New Haven","CT",""
10230,"859 ORANGE ST","New Haven","CT",""
10231,"863 ORANGE ST","New Haven","CT",""
10232,"875 ORANGE ST","New Haven","CT",""
10233,"879 ORANGE ST","New Haven","CT",""
10234,NA,"New Haven","CT",""
10235,"47 CANNER ST","New Haven","CT",""
10236,"41 CANNER ST","New Haven","CT",""
10237,"37 CANNER ST","New Haven","CT",""
10238,"8 NORTH BANK ST","New Haven","CT",""
10239,"33 CANNER ST","New Haven","CT",""
10240,"29 CANNER ST","New Haven","CT",""
10241,"172 MITCHELL DR","New Haven","CT",""
10242,"166 MITCHELL DR","New Haven","CT",""
10243,"158 MITCHELL DR","New Haven","CT",""
10244,"152 MITCHELL DR","New Haven","CT",""
10245,"242 FOSTER ST","New Haven","CT",""
10246,"238 FOSTER ST","New Haven","CT",""
10247,"3 NORTH BANK ST","New Haven","CT",""
10248,"7 NORTH BANK ST","New Haven","CT",""
10249,"9 NORTH BANK ST","New Haven","CT",""
10250,"15 NORTH BANK ST","New Haven","CT",""
10251,"19 NORTH BANK ST","New Haven","CT",""
10252,"21 NORTH BANK ST","New Haven","CT",""
10253,"65 ANDERSON ST","New Haven","CT",""
10254,"71 ANDERSON ST","New Haven","CT",""
10255,"79 ANDERSON ST","New Haven","CT",""
10256,"115 FOSTER ST","New Haven","CT",""
10257,"117 FOSTER ST","New Haven","CT",""
10258,"119 FOSTER ST","New Haven","CT",""
10259,"127 FOSTER ST","New Haven","CT",""
10260,"131 FOSTER ST","New Haven","CT",""
10261,"135 FOSTER ST","New Haven","CT",""
10262,"139 FOSTER ST","New Haven","CT",""
10263,"143 FOSTER ST","New Haven","CT",""
10264,"147 FOSTER ST","New Haven","CT",""
10265,"151 FOSTER ST","New Haven","CT",""
10266,"155 FOSTER ST","New Haven","CT",""
10267,"150 WILLOW ST","New Haven","CT",""
10268,"216 NICOLL ST","New Haven","CT",""
10269,"208 NICOLL ST","New Haven","CT",""
10270,"204 NICOLL ST","New Haven","CT",""
10271,"200 NICOLL ST","New Haven","CT",""
10272,"196 NICOLL ST","New Haven","CT",""
10273,"190 NICOLL ST","New Haven","CT",""
10274,"188 NICOLL ST","New Haven","CT",""
10275,"182 NICOLL ST","New Haven","CT",""
10276,"178 NICOLL ST","New Haven","CT",""
10277,"170 NICOLL ST","New Haven","CT",""
10278,"166 NICOLL ST","New Haven","CT",""
10279,"160 NICOLL ST","New Haven","CT",""
10280,"149 EAGLE ST","New Haven","CT",""
10281,"157 NICOLL ST","New Haven","CT",""
10282,"169 NICOLL ST","New Haven","CT",""
10283,"175 NICOLL ST","New Haven","CT",""
10284,"181 NICOLL ST","New Haven","CT",""
10285,"189 NICOLL ST","New Haven","CT",""
10286,"195 NICOLL ST","New Haven","CT",""
10287,"199 NICOLL ST","New Haven","CT",""
10288,"203 NICOLL ST","New Haven","CT",""
10289,"211 NICOLL ST","New Haven","CT",""
10290,"217 NICOLL ST","New Haven","CT",""
10291,"158 NASH ST","New Haven","CT",""
10292,"152 NASH ST","New Haven","CT",""
10293,"146 NASH ST","New Haven","CT",""
10294,"142 NASH ST","New Haven","CT",""
10295,"140 NASH ST","New Haven","CT",""
10296,"136 NASH ST","New Haven","CT",""
10297,"132 NASH ST","New Haven","CT",""
10298,"128 NASH ST","New Haven","CT",""
10299,"124 NASH ST","New Haven","CT",""
10300,"120 NASH ST","New Haven","CT",""
10301,"116 NASH ST","New Haven","CT",""
10302,"129 EAGLE ST","New Haven","CT",""
10303,"131 EAGLE ST","New Haven","CT",""
10304,"133 NASH ST","New Haven","CT",""
10305,"107 MECHANIC ST","New Haven","CT",""
10306,"163 FOSTER ST","New Haven","CT",""
10307,"191 FOSTER ST","New Haven","CT",""
10308,"197 FOSTER ST","New Haven","CT",""
10309,"199 FOSTER ST","New Haven","CT",""
10310,"14 CANNER ST","New Haven","CT",""
10311,"268 NICOLL ST","New Haven","CT",""
10312,"258 NICOLL ST","New Haven","CT",""
10313,"248 NICOLL ST","New Haven","CT",""
10314,"246 NICOLL ST","New Haven","CT",""
10315,"240 NICOLL ST","New Haven","CT",""
10316,"236 NICOLL ST","New Haven","CT",""
10317,"230 NICOLL ST","New Haven","CT",""
10318,"145 WILLOW ST","New Haven","CT",""
10319,"151 WILLOW ST","New Haven","CT",""
10320,"85 WILLOW ST","New Haven","CT",""
10321,"141 WILLOW ST","New Haven","CT",""
10322,"285 NICOLL ST","New Haven","CT",""
10323,"205 FOSTER ST","New Haven","CT",""
10324,"207 FOSTER ST","New Haven","CT",""
10325,"209 FOSTER ST","New Haven","CT",""
10326,"221 FOSTER ST","New Haven","CT",""
10327,"225 FOSTER ST","New Haven","CT",""
10328,"231 FOSTER ST","New Haven","CT",""
10329,"233 FOSTER ST","New Haven","CT",""
10330,"239 FOSTER ST","New Haven","CT",""
10331,"243 FOSTER ST","New Haven","CT",""
10332,"136 MITCHELL DR","New Haven","CT",""
10333,"130 MITCHELL DR","New Haven","CT",""
10334,"126 MITCHELL DR","New Haven","CT",""
10335,"120 MITCHELL DR","New Haven","CT",""
10336,"324 NICOLL ST","New Haven","CT",""
10337,"316 NICOLL ST","New Haven","CT",""
10338,"302 NICOLL ST","New Haven","CT",""
10339,"1 CANNER ST","New Haven","CT",""
10340,"7 CANNER ST","New Haven","CT",""
10341,"11 CANNER ST","New Haven","CT",""
10342,"19 CANNER ST","New Haven","CT",""
10343,"49 EDWARDS ST","New Haven","CT",""
10344,"17 NICOLL ST","New Haven","CT",""
10345,"19 NICOLL ST","New Haven","CT",""
10346,"23 NICOLL ST","New Haven","CT",""
10347,"29 NICOLL ST","New Haven","CT",""
10348,"62 LAWRENCE ST","New Haven","CT",""
10349,"56 LAWRENCE ST","New Haven","CT",""
10350,"54 LAWRENCE ST","New Haven","CT",""
10351,"52 LAWRENCE ST","New Haven","CT",""
10352,"48 LAWRENCE ST","New Haven","CT",""
10353,"44 LAWRENCE ST","New Haven","CT",""
10354,NA,"New Haven","CT",""
10355,"18 NASH ST","New Haven","CT",""
10356,"24 NASH ST","New Haven","CT",""
10357,"28 NASH ST","New Haven","CT",""
10358,"30 NASH ST","New Haven","CT",""
10359,"32 NASH ST","New Haven","CT",""
10360,"34 NASH ST","New Haven","CT",""
10361,"36 NASH ST","New Haven","CT",""
10362,"22 NASH ST","New Haven","CT",""
10363,"20 NASH ST","New Haven","CT",""
10364,"23 EDWARDS ST","New Haven","CT",""
10365,"31 EDWARDS ST","New Haven","CT",""
10366,"35 EDWARDS ST","New Haven","CT",""
10367,"37 EDWARDS ST","New Haven","CT",""
10368,"43 EDWARDS ST","New Haven","CT",""
10369,"47 EDWARDS ST","New Haven","CT",""
10370,"15 EDWARDS ST","New Haven","CT",""
10371,"13 NASH ST","New Haven","CT",""
10372,"17 NASH ST","New Haven","CT",""
10373,"19 NASH ST","New Haven","CT",""
10374,"21 NASH ST","New Haven","CT",""
10375,"23 NASH ST","New Haven","CT",""
10376,"29 NASH ST","New Haven","CT",""
10377,"NASH ST","New Haven","CT",""
10378,"31 NASH ST","New Haven","CT",""
10379,"35 NASH ST","New Haven","CT",""
10380,"20 LAWRENCE ST","New Haven","CT",""
10381,"16 MECHANIC ST","New Haven","CT",""
10382,"8 MECHANIC ST","New Haven","CT",""
10383,"1004 STATE ST","New Haven","CT",""
10384,"2 MECHANIC ST","New Haven","CT",""
10385,"1010 STATE ST","New Haven","CT",""
10386,"990 STATE ST","New Haven","CT",""
10387,"11 EDWARDS ST","New Haven","CT",""
10388,"13 EDWARDS ST","New Haven","CT",""
10389,"STATE ST","New Haven","CT",""
10390,"57 LAWRENCE ST","New Haven","CT",""
10391,"63 NICOLL ST","New Haven","CT",""
10392,"67 NICOLL ST","New Haven","CT",""
10393,"73 NICOLL ST","New Haven","CT",""
10394,"77 NICOLL ST","New Haven","CT",""
10395,"81 NICOLL ST","New Haven","CT",""
10396,"85 NICOLL ST","New Haven","CT",""
10397,"89 NICOLL ST","New Haven","CT",""
10398,"95 NICOLL ST","New Haven","CT",""
10399,"101 NICOLL ST","New Haven","CT",""
10400,"107 NICOLL ST","New Haven","CT",""
10401,"111 NICOLL ST","New Haven","CT",""
10402,"117 NICOLL ST","New Haven","CT",""
10403,"121 NICOLL ST","New Haven","CT",""
10404,"125 NICOLL ST","New Haven","CT",""
10405,"129 NICOLL ST","New Haven","CT",""
10406,"137 NICOLL ST","New Haven","CT",""
10407,"141 NICOLL ST","New Haven","CT",""
10408,"147 NICOLL ST","New Haven","CT",""
10409,"149 NICOLL ST","New Haven","CT",""
10410,"130 EAGLE ST","New Haven","CT",""
10411,"128 EAGLE ST","New Haven","CT",""
10412,"124 EAGLE ST","New Haven","CT",""
10413,"122 EAGLE ST","New Haven","CT",""
10414,"114 NASH ST","New Haven","CT",""
10415,"110 NASH ST","New Haven","CT",""
10416,"106 NASH ST","New Haven","CT",""
10417,"104 NASH ST","New Haven","CT",""
10418,"102 NASH ST","New Haven","CT",""
10419,"98 NASH ST","New Haven","CT",""
10420,"94 NASH ST","New Haven","CT",""
10421,"90 NASH ST","New Haven","CT",""
10422,"88 NASH ST","New Haven","CT",""
10423,"84 NASH ST","New Haven","CT",""
10424,"78 NASH ST","New Haven","CT",""
10425,"76 NASH ST","New Haven","CT",""
10426,"72 NASH ST","New Haven","CT",""
10427,"70 NASH ST","New Haven","CT",""
10428,"66 NASH ST","New Haven","CT",""
10429,"64 NASH ST","New Haven","CT",""
10430,"62 NASH ST","New Haven","CT",""
10431,"58 NASH ST","New Haven","CT",""
10432,"56 NASH ST","New Haven","CT",""
10433,"52 NASH ST","New Haven","CT",""
10434,"50 NASH ST","New Haven","CT",""
10435,"35 LAWRENCE ST","New Haven","CT",""
10436,"37 LAWRENCE ST","New Haven","CT",""
10437,"39 LAWRENCE ST","New Haven","CT",""
10438,"41 LAWRENCE ST","New Haven","CT",""
10439,"43 LAWRENCE ST","New Haven","CT",""
10440,"47 LAWRENCE ST","New Haven","CT",""
10441,"51 LAWRENCE ST","New Haven","CT",""
10442,"53 LAWRENCE ST","New Haven","CT",""
10443,"45 NASH ST","New Haven","CT",""
10444,"51 NASH ST","New Haven","CT",""
10445,"55 NASH ST","New Haven","CT",""
10446,"61 NASH ST","New Haven","CT",""
10447,"65 NASH ST","New Haven","CT",""
10448,"67 NASH ST","New Haven","CT",""
10449,"69 NASH ST","New Haven","CT",""
10450,"71 NASH ST","New Haven","CT",""
10451,"75 NASH ST","New Haven","CT",""
10452,"79 NASH ST","New Haven","CT",""
10453,"83 NASH ST","New Haven","CT",""
10454,"87 NASH ST","New Haven","CT",""
10455,"89 NASH ST","New Haven","CT",""
