"pid","location","city","state","zip"
9001,"283 VIEW ST","New Haven","CT",""
9002,"287 VIEW ST","New Haven","CT",""
9003,"291 VIEW ST","New Haven","CT",""
9004,"295 VIEW ST","New Haven","CT",""
9005,"307 VIEW ST","New Haven","CT",""
9006,"98 ROCK ST","New Haven","CT",""
9007,"76 RIDGE ST","New Haven","CT",""
9008,"70 RIDGE ST","New Haven","CT",""
9009,"66 RIDGE ST","New Haven","CT",""
9010,"62 RIDGE ST","New Haven","CT",""
9011,"58 RIDGE ST","New Haven","CT",""
9012,"38 RIDGE ST","New Haven","CT",""
9013,"50 RIDGE ST","New Haven","CT",""
9014,"46 RIDGE ST","New Haven","CT",""
9015,"44 RIDGE ST","New Haven","CT",""
9016,"40 RIDGE ST","New Haven","CT",""
9017,"3 RIDGE ST","New Haven","CT",""
9018,"7 RIDGE ST","New Haven","CT",""
9019,"15 RIDGE ST","New Haven","CT",""
9020,"17 RIDGE ST","New Haven","CT",""
9021,"21 RIDGE ST","New Haven","CT",""
9022,"27 RIDGE ST","New Haven","CT",""
9023,"31 RIDGE ST","New Haven","CT",""
9024,"41 RIDGE ST","New Haven","CT",""
9025,"51 RIDGE ST","New Haven","CT",""
9026,"61 RIDGE ST","New Haven","CT",""
9027,"76 ROCK ST","New Haven","CT",""
9028,"72 ROCK ST","New Haven","CT",""
9029,"68 ROCK ST","New Haven","CT",""
9030,"64 GRACE ST","New Haven","CT",""
9031,"178 CEDAR HILL AV","New Haven","CT",""
9032,"174 CEDAR HILL AV","New Haven","CT",""
9033,"172 CEDAR HILL AV","New Haven","CT",""
9034,"168 CEDAR HILL AV","New Haven","CT",""
9035,"164 CEDAR HILL AV","New Haven","CT",""
9036,"160 CEDAR HILL AV","New Haven","CT",""
9037,"158 CEDAR HILL AV","New Haven","CT",""
9038,"156 CEDAR HILL AV","New Haven","CT",""
9039,"154 CEDAR HILL AV","New Haven","CT",""
9040,"150 CEDAR HILL AV","New Haven","CT",""
9041,"142 CEDAR HILL AV","New Haven","CT",""
9042,"138 CEDAR HILL AV","New Haven","CT",""
9043,"136 CEDAR HILL AV","New Haven","CT",""
9044,"134 CEDAR HILL AV","New Haven","CT",""
9045,"130 CEDAR HILL AV","New Haven","CT",""
9046,"126 CEDAR HILL AV","New Haven","CT",""
9047,"118 CEDAR HILL AV","New Haven","CT",""
9048,"116 CEDAR HILL AV","New Haven","CT",""
9049,"114 CEDAR HILL AV","New Haven","CT",""
9050,"112 CEDAR HILL AV","New Haven","CT",""
9051,"29 WARREN PL","New Haven","CT",""
9052,"123 CEDAR HILL AV","New Haven","CT",""
9053,"125 CEDAR HILL AV","New Haven","CT",""
9054,"127 CEDAR HILL AV","New Haven","CT",""
9055,"129 CEDAR HILL AV","New Haven","CT",""
9056,"131 CEDAR HILL AV","New Haven","CT",""
9057,"26 MAY ST","New Haven","CT",""
9058,"22 MAY ST","New Haven","CT",""
9059,"20 MAY ST","New Haven","CT",""
9060,"1318 STATE ST","New Haven","CT",""
9061,"1314 STATE ST","New Haven","CT",""
9062,"1312 STATE ST","New Haven","CT",""
9063,"1308 STATE ST","New Haven","CT",""
9064,"1306 STATE ST","New Haven","CT",""
9065,"1296 STATE ST","New Haven","CT",""
