"pid","location","city","state","zip"
19001,"242 DAVENPORT AV","New Haven","CT",""
19002,"236 DAVENPORT AV","New Haven","CT",""
19003,"48 KOSSUTH ST","New Haven","CT",""
19004,"44 KOSSUTH ST","New Haven","CT",""
19005,"36 KOSSUTH ST","New Haven","CT",""
19006,"11 ANN ST","New Haven","CT",""
19007,"17 ANN ST","New Haven","CT",""
19008,"21 ANN ST","New Haven","CT",""
19009,"23 ANN ST","New Haven","CT",""
19010,"25 ANN ST","New Haven","CT",""
19011,"29 ANN ST","New Haven","CT",""
19012,"27 ANN ST","New Haven","CT",""
19013,"31 ANN ST","New Haven","CT",""
19014,"35 ANN ST","New Haven","CT",""
19015,"ANN ST","New Haven","CT",""
19016,"37 ANN ST","New Haven","CT",""
19017,"39 ANN ST","New Haven","CT",""
19018,"ANN ST","New Haven","CT",""
19019,"41 ANN ST","New Haven","CT",""
19020,"43 ANN ST","New Haven","CT",""
19021,"51 ANN ST","New Haven","CT",""
19022,"53 ANN ST","New Haven","CT",""
19023,"57 ANN ST","New Haven","CT",""
19024,"63 ANN ST","New Haven","CT",""
19025,"215 WEST ST","New Haven","CT",""
19026,"WEST ST","New Haven","CT",""
19027,"219 WEST ST","New Haven","CT",""
19028,"224 DAVENPORT AV","New Haven","CT",""
19029,"220 DAVENPORT AV","New Haven","CT",""
19030,"218 DAVENPORT AV","New Haven","CT",""
19031,"216 DAVENPORT AV","New Haven","CT",""
19032,"206 DAVENPORT AV","New Haven","CT",""
19033,"202 DAVENPORT AV","New Haven","CT",""
19034,NA,"New Haven","CT",""
19035,NA,"New Haven","CT",""
19036,NA,"New Haven","CT",""
19037,NA,"New Haven","CT",""
19038,NA,"New Haven","CT",""
19039,NA,"New Haven","CT",""
19040,NA,"New Haven","CT",""
19041,NA,"New Haven","CT",""
19042,NA,"New Haven","CT",""
19043,NA,"New Haven","CT",""
19044,NA,"New Haven","CT",""
19045,NA,"New Haven","CT",""
19046,NA,"New Haven","CT",""
19047,NA,"New Haven","CT",""
19048,NA,"New Haven","CT",""
19049,NA,"New Haven","CT",""
19050,"649 CONGRESS AV","New Haven","CT",""
19051,"5 KOSSUTH ST","New Haven","CT",""
19052,"9 KOSSUTH ST","New Haven","CT",""
19053,"15 KOSSUTH ST","New Haven","CT",""
19054,"21 KOSSUTH ST","New Haven","CT",""
19055,"25 KOSSUTH ST","New Haven","CT",""
19056,"27 KOSSUTH ST","New Haven","CT",""
19057,"29 KOSSUTH ST","New Haven","CT",""
19058,"33 KOSSUTH ST","New Haven","CT",""
19059,"39 KOSSUTH ST","New Haven","CT",""
19060,"45 KOSSUTH ST","New Haven","CT",""
19061,"49 KOSSUTH ST","New Haven","CT",""
19062,"198 DAVENPORT AV","New Haven","CT",""
19063,"196 DAVENPORT AV","New Haven","CT",""
19064,"192 DAVENPORT AV","New Haven","CT",""
19065,"180 DAVENPORT AV","New Haven","CT",""
19066,"38 ASYLUM ST","New Haven","CT",""
19067,"34 ASYLUM ST","New Haven","CT",""
19068,NA,"New Haven","CT",""
19069,NA,"New Haven","CT",""
19070,NA,"New Haven","CT",""
19071,NA,"New Haven","CT",""
19072,NA,"New Haven","CT",""
19073,NA,"New Haven","CT",""
19074,NA,"New Haven","CT",""
19075,NA,"New Haven","CT",""
19076,NA,"New Haven","CT",""
19077,NA,"New Haven","CT",""
19078,"587 CONGRESS AV","New Haven","CT",""
19079,NA,"New Haven","CT",""
19080,NA,"New Haven","CT",""
19081,NA,"New Haven","CT",""
19082,NA,"New Haven","CT",""
19083,NA,"New Haven","CT",""
19084,NA,"New Haven","CT",""
19085,NA,"New Haven","CT",""
19086,NA,"New Haven","CT",""
19087,NA,"New Haven","CT",""
