"pid","location","city","state","zip"
15001,"260 COLLEGE ST","New Haven","CT",""
15002,"COLLEGE ST","New Haven","CT",""
15003,"238 COLLEGE ST #2","New Haven","CT",""
15004,"238 COLLEGE ST #1","New Haven","CT",""
15005,NA,"New Haven","CT",""
15006,NA,"New Haven","CT",""
15007,"234 COLLEGE ST","New Haven","CT",""
15008,"CROWN ST","New Haven","CT",""
15009,"220 COLLEGE ST","New Haven","CT",""
15010,"255 CROWN ST","New Haven","CT",""
15011,"261 CROWN ST","New Haven","CT",""
15012,"265 CROWN ST","New Haven","CT",""
15013,"271 CROWN ST","New Haven","CT",""
15014,"277 CROWN ST","New Haven","CT",""
15015,"279 CROWN ST","New Haven","CT",""
15016,"281 CROWN ST","New Haven","CT",""
15017,"1073 CHAPEL ST","New Haven","CT",""
15018,"197 YORK ST","New Haven","CT",""
15019,"201 YORK ST","New Haven","CT",""
15020,"64 HIGH ST","New Haven","CT",""
15021,"60 HIGH ST","New Haven","CT",""
15022,"HIGH ST","New Haven","CT",""
15023,"1021 CHAPEL ST","New Haven","CT",""
15024,"61 HIGH ST","New Haven","CT",""
15025,"214 ELM ST","New Haven","CT",""
15026,"200 ELM ST","New Haven","CT",""
15027,"330 COLLEGE ST","New Haven","CT",""
15028,NA,"New Haven","CT",""
15029,"60 YORK ST","New Haven","CT",""
15030,"390 GEORGE ST","New Haven","CT",""
15031,"82 YORK ST","New Haven","CT",""
15032,"335 NORTH FRONTAGE RD","New Haven","CT",""
15033,"300 GEORGE ST","New Haven","CT",""
15034,"340 GEORGE ST","New Haven","CT",""
15035,"111 PARK ST","New Haven","CT",""
15036,"100 YORK ST","New Haven","CT",""
15037,"379 GEORGE ST","New Haven","CT",""
15038,"123 YORK ST","New Haven","CT",""
15039,"129 YORK ST","New Haven","CT",""
15040,"HIGH ST","New Haven","CT",""
15041,"280 CROWN ST","New Haven","CT",""
15042,"274 CROWN ST","New Haven","CT",""
15043,"270 CROWN ST","New Haven","CT",""
15044,"260 CROWN ST","New Haven","CT",""
15045,"254 CROWN ST","New Haven","CT",""
15046,"250 CROWN ST","New Haven","CT",""
15047,NA,"New Haven","CT",""
15048,"200 COLLEGE ST","New Haven","CT",""
15049,NA,"New Haven","CT",""
15050,"297 GEORGE ST","New Haven","CT",""
15051,NA,"New Haven","CT",""
15052,"301 GEORGE ST","New Haven","CT",""
15053,NA,"New Haven","CT",""
15054,"323 GEORGE ST","New Haven","CT",""
15055,"9 HIGH ST","New Haven","CT",""
15056,"15 HIGH ST","New Haven","CT",""
15057,"184 LIBERTY ST","New Haven","CT",""
15058,"184 LIBERTY ST","New Haven","CT",""
15059,"290 CONGRESS AV","New Haven","CT",""
15060,"270 CONGRESS AV","New Haven","CT",""
15061,"216 CONGRESS AV","New Haven","CT",""
15062,"93 WASHINGTON AV","New Haven","CT",""
15063,"101 WASHINGTON AV","New Haven","CT",""
15064,"789 HOWARD AV","New Haven","CT",""
15065,"375 CONGRESS AV","New Haven","CT",""
15066,NA,"New Haven","CT",""
15067,NA,"New Haven","CT",""
15068,"333 CEDAR ST","New Haven","CT",""
15069,"35 COLLEGE ST","New Haven","CT",""
15070,"144 COLUMBUS AV","New Haven","CT",""
15071,"150 COLUMBUS AV","New Haven","CT",""
15072,"PORTSEA ST","New Haven","CT",""
15073,"154 COLUMBUS AV","New Haven","CT",""
15074,"158 COLUMBUS AV","New Haven","CT",""
15075,"162 COLUMBUS AV","New Haven","CT",""
15076,"147 PORTSEA ST","New Haven","CT",""
15077,"145 PORTSEA ST","New Haven","CT",""
15078,"143 PORTSEA ST","New Haven","CT",""
15079,"141 PORTSEA ST","New Haven","CT",""
15080,"137 PORTSEA ST","New Haven","CT",""
15081,"133 PORTSEA ST","New Haven","CT",""
15082,"131 PORTSEA ST","New Haven","CT",""
