"pid","location","city","state","zip"
12001,"778 ORANGE ST","New Haven","CT",""
12002,"770 ORANGE ST","New Haven","CT",""
12003,"87 LINDEN ST","New Haven","CT",""
12004,"91 LINDEN ST","New Haven","CT",""
12005,"95 LINDEN ST","New Haven","CT",""
12006,"99 LINDEN ST","New Haven","CT",""
12007,"103 LINDEN ST","New Haven","CT",""
12008,"107 LINDEN ST","New Haven","CT",""
12009,"111 LINDEN ST","New Haven","CT",""
12010,"115 LINDEN ST","New Haven","CT",""
12011,"119 LINDEN ST","New Haven","CT",""
12012,"125 LINDEN ST","New Haven","CT",""
12013,"119 LIVINGSTON ST","New Haven","CT",""
12014,"125 LIVINGSTON ST","New Haven","CT",""
12015,"129 LIVINGSTON ST","New Haven","CT",""
12016,"115 LIVINGSTON ST","New Haven","CT",""
12017,"122 LINDEN ST","New Haven","CT",""
12018,"118 LINDEN ST","New Haven","CT",""
12019,"114 LINDEN ST","New Haven","CT",""
12020,"110 LINDEN ST","New Haven","CT",""
12021,"104 LINDEN ST","New Haven","CT",""
12022,"98 LINDEN ST","New Haven","CT",""
12023,"94 LINDEN ST","New Haven","CT",""
12024,"90 LINDEN ST","New Haven","CT",""
12025,"86 LINDEN ST","New Haven","CT",""
12026,"82 LINDEN ST","New Haven","CT",""
12027,"762 ORANGE ST","New Haven","CT",""
12028,"760 ORANGE ST","New Haven","CT",""
12029,"754 ORANGE ST","New Haven","CT",""
12030,"750 ORANGE ST","New Haven","CT",""
12031,"744 ORANGE ST","New Haven","CT",""
12032,"79 AVON ST","New Haven","CT",""
12033,"85 AVON ST","New Haven","CT",""
12034,"89 AVON ST","New Haven","CT",""
12035,"95 AVON ST","New Haven","CT",""
12036,"99 AVON ST","New Haven","CT",""
12037,"103 AVON ST","New Haven","CT",""
12038,"107 AVON ST","New Haven","CT",""
12039,"115 AVON ST","New Haven","CT",""
12040,"123 AVON ST","New Haven","CT",""
12041,"93 LIVINGSTON ST","New Haven","CT",""
12042,"97 LIVINGSTON ST","New Haven","CT",""
12043,"99 LIVINGSTON ST","New Haven","CT",""
12044,"109 LIVINGSTON ST","New Haven","CT",""
12045,"493 WHITNEY AV","New Haven","CT",""
12046,"501 WHITNEY AV","New Haven","CT",""
12047,"507 WHITNEY AV","New Haven","CT",""
12048,"511 WHITNEY AV","New Haven","CT",""
12049,"230 CANNER ST","New Haven","CT",""
12050,"222 CANNER ST","New Haven","CT",""
12051,"220 CANNER ST","New Haven","CT",""
12052,"214 CANNER ST","New Haven","CT",""
12053,"208 CANNER ST","New Haven","CT",""
12054,"204 CANNER ST","New Haven","CT",""
12055,"196 CANNER ST","New Haven","CT",""
12056,"194 CANNER ST","New Haven","CT",""
12057,"188 CANNER ST","New Haven","CT",""
12058,NA,"New Haven","CT",""
12059,"180 CANNER ST","New Haven","CT",""
12060,"315 WILLOW ST","New Haven","CT",""
12061,"317 WILLOW ST","New Haven","CT",""
12062,"319 WILLOW ST","New Haven","CT",""
12063,"323 WILLOW ST","New Haven","CT",""
12064,"327 WILLOW ST","New Haven","CT",""
12065,"339 WILLOW ST","New Haven","CT",""
12066,"341 WILLOW ST","New Haven","CT",""
12067,NA,"New Haven","CT",""
12068,"351 WILLOW ST","New Haven","CT",""
12069,"355 WILLOW ST","New Haven","CT",""
12070,"361 WILLOW ST","New Haven","CT",""
12071,"519 WHITNEY AV","New Haven","CT",""
12072,"525 WHITNEY AV","New Haven","CT",""
12073,"531 WHITNEY AV","New Haven","CT",""
12074,"537 WHITNEY AV","New Haven","CT",""
12075,"545 WHITNEY AV","New Haven","CT",""
12076,"553 WHITNEY AV","New Haven","CT",""
12077,"561 WHITNEY AV","New Haven","CT",""
12078,"569 WHITNEY AV","New Haven","CT",""
12079,"188 COLD SPRING ST","New Haven","CT",""
12080,"182 COLD SPRING ST","New Haven","CT",""
12081,"178 COLD SPRING ST","New Haven","CT",""
12082,"170 COLD SPRING ST","New Haven","CT",""
12083,"166 COLD SPRING ST","New Haven","CT",""
12084,"36 EVERIT ST","New Haven","CT",""
12085,"32 EVERIT ST","New Haven","CT",""
12086,"22 EVERIT ST","New Haven","CT",""
12087,"24 EVERIT ST","New Haven","CT",""
12088,"18 EVERIT ST","New Haven","CT",""
12089,"14 EVERIT ST","New Haven","CT",""
12090,"6 EVERIT ST","New Haven","CT",""
12091,"217 CANNER ST","New Haven","CT",""
12092,"223 CANNER ST","New Haven","CT",""
12093,"231 CANNER ST","New Haven","CT",""
12094,"1 EVERIT ST","New Haven","CT",""
12095,"9 EVERIT ST","New Haven","CT",""
12096,"15 EVERIT ST","New Haven","CT",""
12097,"21 EVERIT ST","New Haven","CT",""
12098,"25 EVERIT ST","New Haven","CT",""
12099,"31 EVERIT ST","New Haven","CT",""
12100,"35 EVERIT ST","New Haven","CT",""
12101,"45 EVERIT ST","New Haven","CT",""
12102,"148 COLD SPRING ST","New Haven","CT",""
12103,"142 COLD SPRING ST","New Haven","CT",""
12104,"134 COLD SPRING ST","New Haven","CT",""
12105,"130 COLD SPRING ST","New Haven","CT",""
12106,"206 LIVINGSTON ST","New Haven","CT",""
12107,"200 LIVINGSTON ST","New Haven","CT",""
12108,"192 LIVINGSTON ST","New Haven","CT",""
12109,"188 LIVINGSTON ST","New Haven","CT",""
12110,"184 LIVINGSTON ST","New Haven","CT",""
12111,"180 LIVINGSTON ST","New Haven","CT",""
12112,"172 LIVINGSTON ST","New Haven","CT",""
12113,"575 WHITNEY AV","New Haven","CT",""
12114,"575 WHITNEY AV","New Haven","CT",""
12115,"591 WHITNEY AV","New Haven","CT",""
12116,"595 WHITNEY AV","New Haven","CT",""
12117,"599 WHITNEY AV","New Haven","CT",""
12118,"603 WHITNEY AV","New Haven","CT",""
12119,NA,"New Haven","CT",""
12120,"611 WHITNEY AV","New Haven","CT",""
12121,"623 WHITNEY AV","New Haven","CT",""
12122,"629 WHITNEY AV #1","New Haven","CT",""
12123,"629 WHITNEY AV #2","New Haven","CT",""
12124,"631 WHITNEY AV #3","New Haven","CT",""
12125,"631 WHITNEY AV #4","New Haven","CT",""
12126,"633 WHITNEY AV #5","New Haven","CT",""
12127,"633 WHITNEY AV #6","New Haven","CT",""
12128,"641 WHITNEY AV","New Haven","CT",""
12129,"645 WHITNEY AV","New Haven","CT",""
12130,"134 EVERIT ST","New Haven","CT",""
12131,"130 EVERIT ST","New Haven","CT",""
12132,"124 EVERIT ST","New Haven","CT",""
12133,"118 EVERIT ST","New Haven","CT",""
12134,"116 EVERIT ST","New Haven","CT",""
12135,"108 EVERIT ST","New Haven","CT",""
12136,"96 EVERIT ST","New Haven","CT",""
12137,"92 EVERIT ST","New Haven","CT",""
12138,"86 EVERIT ST","New Haven","CT",""
12139,"76 EVERIT ST","New Haven","CT",""
12140,"165 COLD SPRING ST","New Haven","CT",""
12141,"169 COLD SPRING ST","New Haven","CT",""
12142,"173 COLD SPRING ST","New Haven","CT",""
12143,"179 COLD SPRING ST","New Haven","CT",""
12144,"151 COLD SPRING ST","New Haven","CT",""
12145,"77 EVERIT ST","New Haven","CT",""
12146,"85 EVERIT ST","New Haven","CT",""
12147,"89 EVERIT ST","New Haven","CT",""
12148,"97 EVERIT ST","New Haven","CT",""
12149,"103 EVERIT ST","New Haven","CT",""
12150,"115 EVERIT ST","New Haven","CT",""
12151,"119 EVERIT ST","New Haven","CT",""
12152,"123 EVERIT ST","New Haven","CT",""
12153,"127 EVERIT ST","New Haven","CT",""
12154,"294 LIVINGSTON ST","New Haven","CT",""
12155,"286 LIVINGSTON ST","New Haven","CT",""
12156,"280 LIVINGSTON ST","New Haven","CT",""
12157,"272 LIVINGSTON ST","New Haven","CT",""
12158,"266 LIVINGSTON ST","New Haven","CT",""
12159,"250 LIVINGSTON ST","New Haven","CT",""
12160,"244 LIVINGSTON ST","New Haven","CT",""
12161,"240 LIVINGSTON ST","New Haven","CT",""
12162,"137 COLD SPRING ST","New Haven","CT",""
12163,"141 COLD SPRING ST","New Haven","CT",""
12164,"145 COLD SPRING ST","New Haven","CT",""
12165,"653 WHITNEY AV","New Haven","CT",""
12166,"659 WHITNEY AV","New Haven","CT",""
12167,"663 WHITNEY AV","New Haven","CT",""
12168,"691 WHITNEY AV","New Haven","CT",""
12169,"703 WHITNEY AV","New Haven","CT",""
12170,"725 WHITNEY AV","New Haven","CT",""
12171,"733 WHITNEY AV","New Haven","CT",""
12172,"739 WHITNEY AV","New Haven","CT",""
12173,"108 EAST ROCK RD","New Haven","CT",""
12174,"98 EAST ROCK RD","New Haven","CT",""
12175,"94 EAST ROCK RD","New Haven","CT",""
12176,"84 EAST ROCK RD","New Haven","CT",""
12177,"234 EVERIT ST","New Haven","CT",""
12178,"230 EVERIT ST","New Haven","CT",""
12179,"228 EVERIT ST","New Haven","CT",""
12180,"224 EVERIT ST","New Haven","CT",""
12181,"222 EVERIT ST","New Haven","CT",""
12182,"220 EVERIT ST","New Haven","CT",""
12183,"200 EVERIT ST","New Haven","CT",""
12184,"190 EVERIT ST","New Haven","CT",""
12185,"154 EVERIT ST","New Haven","CT",""
12186,"146 EVERIT ST #146A","New Haven","CT",""
12187,"146 EVERIT ST #146B","New Haven","CT",""
12188,"146 EVERIT ST #146C","New Haven","CT",""
12189,"146 EVERIT ST #146D","New Haven","CT",""
12190,"146 EVERIT ST #146E","New Haven","CT",""
12191,"148 EVERIT ST #148A","New Haven","CT",""
12192,"148 EVERIT ST #148B","New Haven","CT",""
12193,"148 EVERIT ST #148C","New Haven","CT",""
12194,"148 EVERIT ST #148D","New Haven","CT",""
12195,"148 EVERIT ST #148E","New Haven","CT",""
12196,"148 EVERIT ST #148F","New Haven","CT",""
12197,"150 EVERIT ST #150A","New Haven","CT",""
12198,"150 EVERIT ST #150B","New Haven","CT",""
12199,"150 EVERIT ST #150C","New Haven","CT",""
12200,"150 EVERIT ST #150D","New Haven","CT",""
12201,"150 EVERIT ST #150E","New Haven","CT",""
12202,"140 EVERIT ST","New Haven","CT",""
12203,"145 EVERIT ST","New Haven","CT",""
12204,"151 EVERIT ST","New Haven","CT",""
12205,"165 EVERIT ST","New Haven","CT",""
12206,"171 EVERIT ST","New Haven","CT",""
12207,"177 EVERIT ST","New Haven","CT",""
12208,NA,"New Haven","CT",""
12209,"189 EVERIT ST","New Haven","CT",""
12210,"195 EVERIT ST","New Haven","CT",""
12211,"201 EVERIT ST","New Haven","CT",""
12212,"207 EVERIT ST","New Haven","CT",""
12213,"217 EVERIT ST","New Haven","CT",""
12214,"221 EVERIT ST","New Haven","CT",""
12215,"227 EVERIT ST","New Haven","CT",""
12216,"233 EVERIT ST","New Haven","CT",""
12217,"239 EVERIT ST","New Haven","CT",""
12218,"410 LIVINGSTON ST","New Haven","CT",""
12219,"400 LIVINGSTON ST","New Haven","CT",""
12220,"396 LIVINGSTON ST","New Haven","CT",""
12221,"390 LIVINGSTON ST","New Haven","CT",""
12222,"382 LIVINGSTON ST","New Haven","CT",""
12223,"370 LIVINGSTON ST","New Haven","CT",""
12224,"350 LIVINGSTON ST","New Haven","CT",""
12225,"340 LIVINGSTON ST","New Haven","CT",""
12226,"324 LIVINGSTON ST","New Haven","CT",""
12227,"300 LIVINGSTON ST","New Haven","CT",""
12228,"749 WHITNEY AV","New Haven","CT",""
12229,"755 WHITNEY AV","New Haven","CT",""
12230,"761 WHITNEY AV","New Haven","CT",""
12231,"765 WHITNEY AV","New Haven","CT",""
12232,"769 WHITNEY AV","New Haven","CT",""
12233,"773 WHITNEY AV","New Haven","CT",""
12234,"783 WHITNEY AV","New Haven","CT",""
12235,"787 WHITNEY AV","New Haven","CT",""
12236,"26 BURNS ST","New Haven","CT",""
12237,"20 BURNS ST","New Haven","CT",""
12238,"270 EVERIT ST","New Haven","CT",""
12239,"266 EVERIT ST","New Haven","CT",""
12240,"260 EVERIT ST","New Haven","CT",""
12241,"254 EVERIT ST","New Haven","CT",""
12242,"250 EVERIT ST","New Haven","CT",""
12243,"83 EAST ROCK RD","New Haven","CT",""
12244,"95 EAST ROCK RD","New Haven","CT",""
12245,"99 EAST ROCK RD","New Haven","CT",""
12246,"105 EAST ROCK RD","New Haven","CT",""
12247,"EAST ROCK RD","New Haven","CT",""
12248,"799 WHITNEY AV","New Haven","CT",""
12249,"805 WHITNEY AV","New Haven","CT",""
12250,"809 WHITNEY AV","New Haven","CT",""
12251,"813 WHITNEY AV","New Haven","CT",""
12252,"821 WHITNEY AV","New Haven","CT",""
12253,"827 WHITNEY AV","New Haven","CT",""
12254,"25 BURNS ST","New Haven","CT",""
12255,"19 BURNS ST","New Haven","CT",""
12256,"11 BURNS ST","New Haven","CT",""
12257,"9 BURNS ST","New Haven","CT",""
12258,"7 BURNS ST","New Haven","CT",""
12259,"EDGEHILL RD","New Haven","CT",""
12260,"WHITNEY AV","New Haven","CT",""
12261,"55 HIGHLAND ST","New Haven","CT",""
12262,"3 EDGEHILL RD","New Haven","CT",""
12263,"7 EDGEHILL RD","New Haven","CT",""
12264,"15 EDGEHILL RD","New Haven","CT",""
12265,"19 EDGEHILL RD","New Haven","CT",""
12266,"23 EDGEHILL RD","New Haven","CT",""
12267,"58 HUNTINGTON ST","New Haven","CT",""
12268,"54 HUNTINGTON ST","New Haven","CT",""
12269,"50 HUNTINGTON ST","New Haven","CT",""
12270,"46 HUNTINGTON ST","New Haven","CT",""
12271,"40 HUNTINGTON ST","New Haven","CT",""
12272,"32 HUNTINGTON ST","New Haven","CT",""
12273,"24 HUNTINGTON ST","New Haven","CT",""
12274,"690 WHITNEY AV","New Haven","CT",""
12275,"684 WHITNEY AV","New Haven","CT",""
12276,"682 WHITNEY AV","New Haven","CT",""
12277,"674 WHITNEY AV","New Haven","CT",""
12278,"670 WHITNEY AV","New Haven","CT",""
12279,"656 WHITNEY AV","New Haven","CT",""
12280,"650 WHITNEY AV","New Haven","CT",""
12281,"21 HIGHLAND ST","New Haven","CT",""
12282,"31 HIGHLAND ST","New Haven","CT",""
12283,"35 HIGHLAND ST","New Haven","CT",""
12284,"31 EDGEHILL RD","New Haven","CT",""
12285,"35 EDGEHILL RD","New Haven","CT",""
12286,"45 EDGEHILL RD","New Haven","CT",""
12287,"53 EDGEHILL RD","New Haven","CT",""
12288,"57 EDGEHILL RD","New Haven","CT",""
12289,"67 EDGEHILL RD","New Haven","CT",""
12290,"184 EAST ROCK RD","New Haven","CT",""
12291,"180 EAST ROCK RD","New Haven","CT",""
12292,"178 EAST ROCK RD","New Haven","CT",""
12293,"172 EAST ROCK RD","New Haven","CT",""
12294,"166 EAST ROCK RD","New Haven","CT",""
12295,"160 EAST ROCK RD","New Haven","CT",""
12296,"156 EAST ROCK RD","New Haven","CT",""
12297,"152 EAST ROCK RD","New Haven","CT",""
12298,"150 EAST ROCK RD","New Haven","CT",""
12299,"738 WHITNEY AV","New Haven","CT",""
12300,"142 EAST ROCK RD","New Haven","CT",""
12301,"730 WHITNEY AV","New Haven","CT",""
12302,"724 WHITNEY AV","New Haven","CT",""
12303,"704 WHITNEY AV","New Haven","CT",""
12304,"23 HUNTINGTON ST","New Haven","CT",""
12305,"29 HUNTINGTON ST","New Haven","CT",""
12306,"35 HUNTINGTON ST","New Haven","CT",""
12307,"45 HUNTINGTON ST","New Haven","CT",""
12308,"49 HUNTINGTON ST","New Haven","CT",""
12309,"55 HUNTINGTON ST","New Haven","CT",""
12310,"61 HUNTINGTON ST","New Haven","CT",""
12311,"71 EDGEHILL RD","New Haven","CT",""
12312,"77 EDGEHILL RD","New Haven","CT",""
12313,"93 EDGEHILL RD","New Haven","CT",""
12314,"140 OGDEN ST","New Haven","CT",""
12315,"120 OGDEN ST","New Haven","CT",""
12316,"104 OGDEN ST","New Haven","CT",""
12317,"90 OGDEN ST","New Haven","CT",""
12318,"70 OGDEN ST","New Haven","CT",""
12319,"60 OGDEN ST","New Haven","CT",""
12320,"750 WHITNEY AV","New Haven","CT",""
12321,"145 EAST ROCK RD","New Haven","CT",""
12322,"149 EAST ROCK RD","New Haven","CT",""
12323,"157 EAST ROCK RD","New Haven","CT",""
12324,"163 EAST ROCK RD","New Haven","CT",""
12325,"169 EAST ROCK RD","New Haven","CT",""
12326,"175 EAST ROCK RD","New Haven","CT",""
12327,"181 EAST ROCK RD","New Haven","CT",""
12328,"189 EAST ROCK RD","New Haven","CT",""
12329,"193 EAST ROCK RD","New Haven","CT",""
12330,"123 EDGEHILL RD","New Haven","CT",""
12331,"131 EDGEHILL RD","New Haven","CT",""
12332,"80 CLIFF ST","New Haven","CT",""
12333,"70 CLIFF ST","New Haven","CT",""
12334,"60 CLIFF ST","New Haven","CT",""
12335,"50 CLIFF ST","New Haven","CT",""
12336,"46 CLIFF ST","New Haven","CT",""
12337,"40 CLIFF ST","New Haven","CT",""
12338,"30 CLIFF ST","New Haven","CT",""
