"pid","location","city","state","zip"
26001,"30 DAVIS ST","New Haven","CT",""
26002,"26 DAVIS ST","New Haven","CT",""
26003,"18 DAVIS ST","New Haven","CT",""
26004,"14 DAVIS ST","New Haven","CT",""
26005,"441 FOUNTAIN ST","New Haven","CT",""
26006,"447 FOUNTAIN ST","New Haven","CT",""
26007,"455 FOUNTAIN ST","New Haven","CT",""
26008,"463 FOUNTAIN ST","New Haven","CT",""
26009,"408 VALLEY ST","New Haven","CT",""
26010,"18 RAMSDELL PL","New Haven","CT",""
26011,"24 RAMSDELL PL","New Haven","CT",""
26012,"126 PARKSIDE DR","New Haven","CT",""
26013,"124 PARKSIDE DR","New Haven","CT",""
26014,"PARKSIDE DR","New Haven","CT",""
26015,"PARKSIDE DR","New Haven","CT",""
26016,"116 PARKSIDE DR","New Haven","CT",""
26017,"PARKSIDE DR","New Haven","CT",""
26018,"110 PARKSIDE DR","New Haven","CT",""
26019,"PARKSIDE DR","New Haven","CT",""
26020,"102 PARKSIDE DR","New Haven","CT",""
26021,"PARKSIDE DR","New Haven","CT",""
26022,"94 PARKSIDE DR","New Haven","CT",""
26023,"PARKSIDE DR","New Haven","CT",""
26024,"88 PARKSIDE DR","New Haven","CT",""
26025,"PARKSIDE DR","New Haven","CT",""
26026,"80 PARKSIDE DR","New Haven","CT",""
26027,"PARKSIDE DR","New Haven","CT",""
26028,"72 PARKSIDE DR","New Haven","CT",""
26029,"PARKSIDE DR","New Haven","CT",""
26030,"64 PARKSIDE DR","New Haven","CT",""
26031,"PARKSIDE DR","New Haven","CT",""
26032,"58 PARKSIDE DR","New Haven","CT",""
26033,"PARKSIDE DR","New Haven","CT",""
26034,"52 PARKSIDE DR","New Haven","CT",""
26035,"PARKSIDE DR","New Haven","CT",""
26036,"PARKSIDE DR","New Haven","CT",""
26037,"46 PARKSIDE DR","New Haven","CT",""
26038,"40 PARKSIDE DR","New Haven","CT",""
26039,"34 PARKSIDE DR","New Haven","CT",""
26040,"30 PARKSIDE DR","New Haven","CT",""
26041,"PARKSIDE DR","New Haven","CT",""
26042,"22 PARKSIDE DR","New Haven","CT",""
26043,"PARKSIDE DR","New Haven","CT",""
26044,"12 PARKSIDE DR","New Haven","CT",""
26045,"PARKSIDE DR","New Haven","CT",""
26046,"6 PARKSIDE DR","New Haven","CT",""
26047,"PARKSIDE DR","New Haven","CT",""
26048,"1279 WHALLEY AV","New Haven","CT",""
26049,"WHALLEY AV","New Haven","CT",""
26050,"1289 WHALLEY AV","New Haven","CT",""
26051,"WHALLEY AV","New Haven","CT",""
26052,"1297 WHALLEY AV","New Haven","CT",""
26053,"WHALLEY AV","New Haven","CT",""
26054,"1307 WHALLEY AV","New Haven","CT",""
26055,"WHALLEY AV","New Haven","CT",""
26056,"1313 WHALLEY AV","New Haven","CT",""
26057,"WHALLEY AV","New Haven","CT",""
26058,"1321 WHALLEY AV","New Haven","CT",""
26059,"WHALLEY AV","New Haven","CT",""
26060,"1325 WHALLEY AV","New Haven","CT",""
26061,"1351 WHALLEY AV","New Haven","CT",""
26062,"WHALLEY AV","New Haven","CT",""
26063,"EAST RAMSDELL ST","New Haven","CT",""
26064,"EAST RAMSDELL ST","New Haven","CT",""
26065,"53 EAST RAMSDELL ST","New Haven","CT",""
26066,"57 EAST RAMSDELL ST","New Haven","CT",""
26067,"19 RAMSDELL PL","New Haven","CT",""
26068,"RAMSDELL PL","New Haven","CT",""
26069,"394 VALLEY ST","New Haven","CT",""
26070,"386 VALLEY ST","New Haven","CT",""
26071,"380 VALLEY ST","New Haven","CT",""
26072,"376 VALLEY ST","New Haven","CT",""
26073,"370 VALLEY ST","New Haven","CT",""
26074,"364 VALLEY ST","New Haven","CT",""
26075,"360 VALLEY ST","New Haven","CT",""
26076,"354 VALLEY ST","New Haven","CT",""
26077,"348 VALLEY ST","New Haven","CT",""
26078,"342 VALLEY ST","New Haven","CT",""
26079,"336 VALLEY ST","New Haven","CT",""
26080,"330 VALLEY ST","New Haven","CT",""
26081,"39 PARKSIDE DR","New Haven","CT",""
26082,"49 PARKSIDE DR","New Haven","CT",""
26083,"59 PARKSIDE DR","New Haven","CT",""
26084,"65 PARKSIDE DR","New Haven","CT",""
26085,"75 PARKSIDE DR","New Haven","CT",""
26086,"79 PARKSIDE DR","New Haven","CT",""
26087,"89 PARKSIDE DR","New Haven","CT",""
26088,"95 PARKSIDE DR","New Haven","CT",""
26089,"103 PARKSIDE DR","New Haven","CT",""
26090,"111 PARKSIDE DR","New Haven","CT",""
26091,"117 PARKSIDE DR","New Haven","CT",""
26092,"2 SO GENESEE ST","New Haven","CT",""
26093,"54 EAST RAMSDELL ST","New Haven","CT",""
