"pid","location","city","state","zip"
4001,"95 LENOX ST #L","New Haven","CT",""
4002,"89 LENOX ST #M","New Haven","CT",""
4003,"89 LENOX ST #N","New Haven","CT",""
4004,"104 LEXINGTON AV","New Haven","CT",""
4005,"LENOX ST","New Haven","CT",""
4006,"75 LENOX ST","New Haven","CT",""
4007,"71 LENOX ST","New Haven","CT",""
4008,"65 LENOX ST","New Haven","CT",""
4009,"59 LENOX ST","New Haven","CT",""
4010,"LENOX ST","New Haven","CT",""
4011,"49 LENOX ST","New Haven","CT",""
4012,"43 LENOX ST","New Haven","CT",""
4013,"15 LEXINGTON AV","New Haven","CT",""
4014,"117 LEXINGTON AV","New Haven","CT",""
4015,"121 LEXINGTON AV #1","New Haven","CT",""
4016,"121 LEXINGTON AV #3","New Haven","CT",""
4017,"121 LEXINGTON AV #5","New Haven","CT",""
4018,"121 LEXINGTON AV #7","New Haven","CT",""
4019,"121 LEXINGTON AV #2","New Haven","CT",""
4020,"121 LEXINGTON AV #4","New Haven","CT",""
4021,"121 LEXINGTON AV #6","New Haven","CT",""
4022,"121 LEXINGTON AV #8","New Haven","CT",""
4023,"121 LEXINGTON AV #10","New Haven","CT",""
4024,"121 LEXINGTON AV #12","New Haven","CT",""
4025,"121 LEXINGTON AV #14","New Haven","CT",""
4026,"121 LEXINGTON AV #16","New Haven","CT",""
4027,"121 LEXINGTON AV #18","New Haven","CT",""
4028,"121 LEXINGTON AV #20","New Haven","CT",""
4029,"121 LEXINGTON AV #9","New Haven","CT",""
4030,"121 LEXINGTON AV #11","New Haven","CT",""
4031,"121 LEXINGTON AV #13","New Haven","CT",""
4032,"121 LEXINGTON AV #15","New Haven","CT",""
4033,"121 LEXINGTON AV #17","New Haven","CT",""
4034,"121 LEXINGTON AV #19","New Haven","CT",""
4035,"121 LEXINGTON AV #21","New Haven","CT",""
4036,"121 LEXINGTON AV #23","New Haven","CT",""
4037,"121 LEXINGTON AV #22","New Haven","CT",""
4038,"121 LEXINGTON AV #24","New Haven","CT",""
4039,"121 LEXINGTON AV #26","New Haven","CT",""
4040,"121 LEXINGTON AV #28","New Haven","CT",""
4041,"121 LEXINGTON AV #25","New Haven","CT",""
4042,"121 LEXINGTON AV #27","New Haven","CT",""
4043,"121 LEXINGTON AV #29","New Haven","CT",""
4044,"121 LEXINGTON AV #31","New Haven","CT",""
4045,"125 LEXINGTON AV","New Haven","CT",""
4046,"127 LEXINGTON AV","New Haven","CT",""
4047,"131 LEXINGTON AV","New Haven","CT",""
4048,"135 LEXINGTON AV","New Haven","CT",""
4049,"141 LEXINGTON AV","New Haven","CT",""
4050,"37 REVERE ST","New Haven","CT",""
4051,"47 REVERE ST","New Haven","CT",""
4052,"57 REVERE ST","New Haven","CT",""
4053,"70 REVERE ST","New Haven","CT",""
4054,"62 REVERE ST","New Haven","CT",""
4055,"76 REVERE ST","New Haven","CT",""
4056,"61 REVERE ST","New Haven","CT",""
4057,"69 REVERE ST","New Haven","CT",""
4058,"84 RUSSELL ST","New Haven","CT",""
4059,"90 RUSSELL ST","New Haven","CT",""
4060,"80 RUSSELL ST","New Haven","CT",""
4061,"72 RUSSELL ST","New Haven","CT",""
4062,"60 RUSSELL ST","New Haven","CT",""
4063,"48 RUSSELL ST","New Haven","CT",""
4064,"50 RUSSELL ST #2","New Haven","CT",""
4065,"52 RUSSELL ST","New Haven","CT",""
4066,"44 RUSSELL ST","New Haven","CT",""
4067,"40 RUSSELL ST","New Haven","CT",""
4068,"490 QUINNIPIAC AV","New Haven","CT",""
4069,"482 QUINNIPIAC AV","New Haven","CT",""
4070,"476 QUINNIPIAC AV","New Haven","CT",""
4071,"470 QUINNIPIAC AV","New Haven","CT",""
4072,"466 QUINNIPIAC AV","New Haven","CT",""
4073,"430 QUINNIPIAC AV","New Haven","CT",""
4074,"400 QUINNIPIAC AV","New Haven","CT",""
4075,"392 QUINNIPIAC AV","New Haven","CT",""
4076,"376 QUINNIPIAC AV","New Haven","CT",""
4077,NA,"New Haven","CT",""
4078,"366 QUINNIPIAC AV","New Haven","CT",""
4079,"360 QUINNIPIAC AV","New Haven","CT",""
4080,"11 FERRY ST","New Haven","CT",""
4081,"39 FERRY ST","New Haven","CT",""
4082,"69 FERRY ST","New Haven","CT",""
4083,"69 FERRY ST","New Haven","CT",""
4084,"323 QUINNIPIAC AV","New Haven","CT",""
4085,"341 QUINNIPIAC AV","New Haven","CT",""
4086,"349 QUINNIPIAC AV","New Haven","CT",""
4087,"375 QUINNIPIAC AV","New Haven","CT",""
4088,"399 QUINNIPIAC AV","New Haven","CT",""
4089,"407 QUINNIPIAC AV","New Haven","CT",""
4090,"415 QUINNIPIAC AV","New Haven","CT",""
4091,"425 QUINNIPIAC AV","New Haven","CT",""
4092,"QUINNIPIAC AV","New Haven","CT",""
4093,"431 QUINNIPIAC AV","New Haven","CT",""
4094,"453 QUINNIPIAC AV","New Haven","CT",""
4095,"467 QUINNIPIAC AV","New Haven","CT",""
4096,"475 QUINNIPIAC AV","New Haven","CT",""
4097,"479 QUINNIPIAC AV","New Haven","CT",""
4098,"483 QUINNIPIAC AV","New Haven","CT",""
4099,"489 QUINNIPIAC AV","New Haven","CT",""
4100,"15 OXFORD ST","New Haven","CT",""
4101,"27 OXFORD ST","New Haven","CT",""
4102,"162 LENOX ST","New Haven","CT",""
4103,"156 LENOX ST","New Haven","CT",""
4104,"152 LENOX ST","New Haven","CT",""
4105,"140 LENOX ST","New Haven","CT",""
4106,"132 LENOX ST","New Haven","CT",""
4107,"126 LENOX ST","New Haven","CT",""
4108,"124 LENOX ST","New Haven","CT",""
4109,"120 LENOX ST","New Haven","CT",""
4110,"110 LENOX ST","New Haven","CT",""
4111,"30 LENOX ST","New Haven","CT",""
4112,"LENOX ST","New Haven","CT",""
4113,"494 QUINNIPIAC AV","New Haven","CT",""
4114,"QUINNIPIAC AV","New Haven","CT",""
4115,"524 QUINNIPIAC AV","New Haven","CT",""
4116,"530 QUINNIPIAC AV","New Haven","CT",""
4117,"536 QUINNIPIAC AV","New Haven","CT",""
4118,NA,"New Haven","CT",""
4119,NA,"New Haven","CT",""
4120,NA,"New Haven","CT",""
4121,NA,"New Haven","CT",""
4122,"553 QUINNIPIAC AV","New Haven","CT",""
4123,"17 ANER ST","New Haven","CT",""
4124,"232 LENOX ST","New Haven","CT",""
4125,"220 LENOX ST","New Haven","CT",""
4126,"210 LENOX ST","New Haven","CT",""
4127,"204 LENOX ST","New Haven","CT",""
4128,"200 LENOX ST","New Haven","CT",""
4129,"196 LENOX ST","New Haven","CT",""
4130,"190 LENOX ST","New Haven","CT",""
4131,"180 LENOX ST","New Haven","CT",""
4132,"12 OXFORD ST","New Haven","CT",""
4133,"501 QUINNIPIAC AV","New Haven","CT",""
4134,"505 QUINNIPIAC AV","New Haven","CT",""
4135,"515 QUINNIPIAC AV","New Haven","CT",""
4136,"517 QUINNIPIAC AV","New Haven","CT",""
4137,"525 QUINNIPIAC AV","New Haven","CT",""
4138,"529 QUINNIPIAC AV","New Haven","CT",""
4139,"533 QUINNIPIAC AV","New Haven","CT",""
4140,"535 QUINNIPIAC AV","New Haven","CT",""
4141,"537 QUINNIPIAC AV","New Haven","CT",""
4142,"539 QUINNIPIAC AV","New Haven","CT",""
4143,"543 QUINNIPIAC AV","New Haven","CT",""
4144,"547 QUINNIPIAC AV","New Haven","CT",""
4145,"171 LENOX ST","New Haven","CT",""
4146,"49 OXFORD ST","New Haven","CT",""
4147,"55 OXFORD ST","New Haven","CT",""
4148,"196 LEXINGTON AV","New Haven","CT",""
4149,"188 LEXINGTON AV","New Haven","CT",""
4150,"184 LEXINGTON AV","New Haven","CT",""
4151,"178 LEXINGTON AV","New Haven","CT",""
4152,"180 LEXINGTON AV","New Haven","CT",""
4153,"166 LEXINGTON AV","New Haven","CT",""
4154,"160 LEXINGTON AV","New Haven","CT",""
4155,"156 LEXINGTON AV","New Haven","CT",""
4156,"152 LEXINGTON AV","New Haven","CT",""
4157,"30 REVERE ST","New Haven","CT",""
4158,"1 REVERE ST","New Haven","CT",""
4159,"123 LENOX ST","New Haven","CT",""
4160,"127 LENOX ST","New Haven","CT",""
4161,"135 LENOX ST","New Haven","CT",""
4162,"139 LENOX ST","New Haven","CT",""
4163,"145 LENOX ST","New Haven","CT",""
4164,"151 LENOX ST","New Haven","CT",""
4165,"161 LENOX ST","New Haven","CT",""
4166,"167 LENOX ST","New Haven","CT",""
4167,"235 LENOX ST","New Haven","CT",""
4168,"49 ANER ST","New Haven","CT",""
4169,"51 ANER ST","New Haven","CT",""
4170,"57 ANER ST","New Haven","CT",""
4171,"258 LEXINGTON AV","New Haven","CT",""
4172,"248 LEXINGTON AV","New Haven","CT",""
4173,"244 LEXINGTON AV","New Haven","CT",""
4174,"238 LEXINGTON AV","New Haven","CT",""
4175,"232 LEXINGTON AV","New Haven","CT",""
4176,"226 LEXINGTON AV","New Haven","CT",""
4177,"222 LEXINGTON AV","New Haven","CT",""
4178,"195 LENOX ST","New Haven","CT",""
4179,"218 LEXINGTON AV","New Haven","CT",""
4180,"214 LEXINGTON AV","New Haven","CT",""
4181,"210 LEXINGTON AV","New Haven","CT",""
4182,"204 LEXINGTON AV","New Haven","CT",""
4183,"62 OXFORD ST","New Haven","CT",""
4184,"44 OXFORD ST","New Haven","CT",""
4185,"179 LENOX ST","New Haven","CT",""
4186,"205 LENOX ST","New Haven","CT",""
4187,"217 LENOX ST","New Haven","CT",""
4188,"223 LENOX ST","New Haven","CT",""
4189,"227 LENOX ST","New Haven","CT",""
4190,"203 LEXINGTON AV","New Haven","CT",""
4191,"15 ROCK HILL RD","New Haven","CT",""
4192,"21 ROCK HILL RD #B","New Haven","CT",""
4193,"21 ROCK HILL RD #C","New Haven","CT",""
4194,"21 ROCK HILL RD #D","New Haven","CT",""
4195,"23 ROCK HILL RD #A","New Haven","CT",""
4196,"23 ROCK HILL RD #B","New Haven","CT",""
4197,"23 ROCK HILL RD #C","New Haven","CT",""
4198,"23 ROCK HILL RD #D","New Haven","CT",""
4199,"23 ROCK HILL RD #E","New Haven","CT",""
4200,"23 ROCK HILL RD #F","New Haven","CT",""
4201,"25 ROCK HILL RD #A","New Haven","CT",""
4202,"25 ROCK HILL RD #B","New Haven","CT",""
4203,"25 ROCK HILL RD #C","New Haven","CT",""
4204,"25 ROCK HILL RD #D","New Haven","CT",""
4205,"25 ROCK HILL RD #E","New Haven","CT",""
4206,"25 ROCK HILL RD #F","New Haven","CT",""
4207,"25 ROCK HILL RD #G","New Haven","CT",""
4208,"25 ROCK HILL RD #H","New Haven","CT",""
4209,"25 ROCK HILL RD #I","New Haven","CT",""
4210,"25 ROCK HILL RD #J","New Haven","CT",""
4211,"21 ROCK HILL RD #A","New Haven","CT",""
4212,"31 ROCK HILL RD","New Haven","CT",""
4213,"39 ROCK HILL RD","New Haven","CT",""
4214,"178 SUMMIT ST","New Haven","CT",""
4215,"170 SUMMIT ST","New Haven","CT",""
4216,"162 SUMMIT ST","New Haven","CT",""
4217,"154 SUMMIT ST","New Haven","CT",""
4218,"58 REVERE ST","New Haven","CT",""
4219,"50 REVERE ST","New Haven","CT",""
4220,"42 REVERE ST","New Haven","CT",""
4221,"REVERE ST","New Haven","CT",""
4222,"151 LEXINGTON AV","New Haven","CT",""
4223,"155 LEXINGTON AV","New Haven","CT",""
4224,"161 LEXINGTON AV","New Haven","CT",""
4225,"LEXINGTON AV","New Haven","CT",""
4226,"LEXINGTON AV","New Haven","CT",""
4227,"167 LEXINGTON AV","New Haven","CT",""
4228,"LEXINGTON AV","New Haven","CT",""
4229,"LEXINGTON AV","New Haven","CT",""
4230,"171 LEXINGTON AV","New Haven","CT",""
4231,"173 LEXINGTON AV","New Haven","CT",""
4232,"177 LEXINGTON AV","New Haven","CT",""
4233,"183 LEXINGTON AV","New Haven","CT",""
4234,"187 LEXINGTON AV","New Haven","CT",""
4235,"193 LEXINGTON AV","New Haven","CT",""
4236,"243 LEXINGTON AV","New Haven","CT",""
4237,"3 ELDRIDGE ST","New Haven","CT",""
4238,"9 ELDRIDGE ST","New Haven","CT",""
4239,"11 ELDRIDGE ST","New Haven","CT",""
4240,"15 ELDRIDGE ST","New Haven","CT",""
4241,"240 SUMMIT ST","New Haven","CT",""
4242,"230 SUMMIT ST","New Haven","CT",""
4243,"222 SUMMIT ST","New Haven","CT",""
4244,"212 SUMMIT ST","New Haven","CT",""
4245,"200 SUMMIT ST","New Haven","CT",""
4246,"34 ROCK HILL RD","New Haven","CT",""
4247,"28 ROCK HILL RD","New Haven","CT",""
4248,"22 ROCK HILL RD","New Haven","CT",""
4249,"16 ROCK HILL RD","New Haven","CT",""
4250,"211 LEXINGTON AV","New Haven","CT",""
4251,"219 LEXINGTON AV","New Haven","CT",""
4252,"227 LEXINGTON AV","New Haven","CT",""
4253,"233 LEXINGTON AV","New Haven","CT",""
4254,"237 LEXINGTON AV","New Haven","CT",""
4255,"169 SUMMIT ST","New Haven","CT",""
4256,"183 SUMMIT ST","New Haven","CT",""
4257,"193 SUMMIT ST","New Haven","CT",""
4258,"201 SUMMIT ST","New Haven","CT",""
4259,"211 SUMMIT ST","New Haven","CT",""
4260,"221 SUMMIT ST","New Haven","CT",""
4261,"229 SUMMIT ST","New Haven","CT",""
4262,"235 SUMMIT ST","New Haven","CT",""
4263,"SUMMIT ST","New Haven","CT",""
