"pid","location","city","state","zip"
11001,"271 GREENE ST #G-13","New Haven","CT",""
11002,"269 GREENE ST #G-14","New Haven","CT",""
11003,"267 GREENE ST #G-15","New Haven","CT",""
11004,"265 GREENE ST #G-16","New Haven","CT",""
11005,"263 GREENE ST #G-17","New Haven","CT",""
11006,"1 HUGHES PL #H-1","New Haven","CT",""
11007,"1 HUGHES PL #H-2","New Haven","CT",""
11008,"1 HUGHES PL #H-3","New Haven","CT",""
11009,"1 HUGHES PL #H-4","New Haven","CT",""
11010,"3 HUGHES PL #H-5","New Haven","CT",""
11011,"3 HUGHES PL #H-6","New Haven","CT",""
11012,"3 HUGHES PL #H-7","New Haven","CT",""
11013,"3 HUGHES PL #H-8","New Haven","CT",""
11014,"5 HUGHES PL #H-9","New Haven","CT",""
11015,"7 HUGHES PL #H-10","New Haven","CT",""
11016,"7 HUGHES PL #H-11","New Haven","CT",""
11017,"7 HUGHES PL #H-12","New Haven","CT",""
11018,"7 HUGHES PL #H-13","New Haven","CT",""
11019,"9 HUGHES PL #H-14","New Haven","CT",""
11020,"9 HUGHES PL #H-15","New Haven","CT",""
11021,"9 HUGHES PL #H-16","New Haven","CT",""
11022,"9 HUGHES PL #H-17","New Haven","CT",""
11023,"13 HUGHES PL","New Haven","CT",""
11024,"206 SAINT JOHN ST","New Haven","CT",""
11025,"200 SAINT JOHN ST","New Haven","CT",""
11026,"196 SAINT JOHN ST","New Haven","CT",""
11027,"209 GREENE ST","New Haven","CT",""
11028,"215 GREENE ST","New Haven","CT",""
11029,"221 GREENE ST","New Haven","CT",""
11030,"171 CHESTNUT ST","New Haven","CT",""
11031,"175 CHESTNUT ST","New Haven","CT",""
11032,"177 CHESTNUT ST","New Haven","CT",""
11033,"341 SAINT JOHN ST","New Haven","CT",""
11034,NA,"New Haven","CT",""
11035,NA,"New Haven","CT",""
11036,"922 GRAND AV","New Haven","CT",""
11037,"904 GRAND AV","New Haven","CT",""
11038,NA,"New Haven","CT",""
11039,"900 GRAND AV","New Haven","CT",""
11040,NA,"New Haven","CT",""
11041,"888 GRAND AV","New Haven","CT",""
11042,"882 GRAND AV","New Haven","CT",""
11043,"880 GRAND AV","New Haven","CT",""
11044,"850 GRAND AV","New Haven","CT",""
11045,"844 GRAND AV","New Haven","CT",""
11046,"832 GRAND AV","New Haven","CT",""
11047,"SAINT JOHN ST","New Haven","CT",""
11048,"802 GRAND AV","New Haven","CT",""
11049,"JEFFERSON ST","New Haven","CT",""
11050,"6 JEFFERSON ST","New Haven","CT",""
11051,"4 JEFFERSON ST","New Haven","CT",""
11052,"227 SAINT JOHN ST","New Haven","CT",""
11053,"233 SAINT JOHN ST","New Haven","CT",""
11054,"239 SAINT JOHN ST","New Haven","CT",""
11055,"245 SAINT JOHN ST","New Haven","CT",""
11056,"251 SAINT JOHN ST","New Haven","CT",""
11057,"257 SAINT JOHN ST","New Haven","CT",""
11058,"263 SAINT JOHN ST","New Haven","CT",""
11059,"265 SAINT JOHN ST","New Haven","CT",""
11060,"269 SAINT JOHN ST","New Haven","CT",""
11061,"275 SAINT JOHN ST","New Haven","CT",""
11062,"281 SAINT JOHN ST","New Haven","CT",""
11063,"287 SAINT JOHN ST","New Haven","CT",""
11064,"295 SAINT JOHN ST","New Haven","CT",""
11065,"303 SAINT JOHN ST","New Haven","CT",""
11066,"305 SAINT JOHN ST","New Haven","CT",""
11067,"311 SAINT JOHN ST","New Haven","CT",""
