"pid","location","city","state","zip"
20001,"38 AUBURN ST","New Haven","CT",""
20002,"36 AUBURN ST","New Haven","CT",""
20003,"32 AUBURN ST","New Haven","CT",""
20004,"26 AUBURN ST","New Haven","CT",""
20005,"24 AUBURN ST","New Haven","CT",""
20006,"141 SYLVAN AV","New Haven","CT",""
20007,"31 AUBURN ST","New Haven","CT",""
20008,"33 AUBURN ST","New Haven","CT",""
20009,"39 AUBURN ST","New Haven","CT",""
20010,"45 AUBURN ST","New Haven","CT",""
20011,"53 AUBURN ST","New Haven","CT",""
20012,"55 AUBURN ST","New Haven","CT",""
20013,"422 LEGION AV","New Haven","CT",""
20014,"416 LEGION AV","New Haven","CT",""
20015,"408 LEGION AV","New Haven","CT",""
20016,"400 LEGION AV","New Haven","CT",""
20017,"392 LEGION AV","New Haven","CT",""
20018,"384 LEGION AV","New Haven","CT",""
20019,"54 GREENWOOD ST","New Haven","CT",""
20020,"52 GREENWOOD ST","New Haven","CT",""
20021,"48 GREENWOOD ST","New Haven","CT",""
20022,"46 GREENWOOD ST","New Haven","CT",""
20023,"42 GREENWOOD ST","New Haven","CT",""
20024,"40 GREENWOOD ST","New Haven","CT",""
20025,"36 GREENWOOD ST","New Haven","CT",""
20026,"30 GREENWOOD ST","New Haven","CT",""
20027,"133 SYLVAN AV","New Haven","CT",""
20028,"129 SYLVAN AV","New Haven","CT",""
20029,"9 GREENWOOD ST","New Haven","CT",""
20030,"15 GREENWOOD ST","New Haven","CT",""
20031,"17 GREENWOOD ST","New Haven","CT",""
20032,"21 GREENWOOD ST","New Haven","CT",""
20033,"23 GREENWOOD ST","New Haven","CT",""
20034,"25 GREENWOOD ST","New Haven","CT",""
20035,"29 GREENWOOD ST","New Haven","CT",""
20036,"31 GREENWOOD ST","New Haven","CT",""
20037,"33 GREENWOOD ST","New Haven","CT",""
20038,"41 GREENWOOD ST","New Haven","CT",""
20039,"47 GREENWOOD ST","New Haven","CT",""
20040,"364 LEGION AV","New Haven","CT",""
20041,"352 LEGION AV","New Haven","CT",""
20042,"348 LEGION AV","New Haven","CT",""
20043,"342 LEGION AV","New Haven","CT",""
20044,"336 LEGION AV","New Haven","CT",""
20045,"324 LEGION AV","New Haven","CT",""
20046,"32 VINE ST","New Haven","CT",""
20047,"28 VINE ST","New Haven","CT",""
20048,"26 VINE ST","New Haven","CT",""
20049,"24 VINE ST","New Haven","CT",""
20050,"22 VINE ST","New Haven","CT",""
20051,"20 VINE ST","New Haven","CT",""
20052,"18 VINE ST","New Haven","CT",""
20053,"VINE ST","New Haven","CT",""
20054,"16 VINE ST","New Haven","CT",""
20055,"14 VINE ST","New Haven","CT",""
20056,"12 VINE ST","New Haven","CT",""
20057,"10 VINE ST #.5","New Haven","CT",""
20058,"10 VINE ST","New Haven","CT",""
20059,"8 VINE ST","New Haven","CT",""
20060,"2 VINE ST","New Haven","CT",""
20061,"121 SYLVAN AV","New Haven","CT",""
20062,"123 SYLVAN AV","New Haven","CT",""
20063,"125 SYLVAN AV","New Haven","CT",""
20064,"130 ORCHARD ST","New Haven","CT",""
20065,"467 LEGION AV","New Haven","CT",""
20066,"LEGION AV","New Haven","CT",""
20067,"113 AUBURN ST","New Haven","CT",""
20068,"121 AUBURN ST","New Haven","CT",""
20069,"117 AUBURN ST","New Haven","CT",""
20070,"105 GREENWOOD ST","New Haven","CT",""
20071,NA,"New Haven","CT",""
20072,"ORCHARD ST","New Haven","CT",""
20073,"192 ORCHARD ST","New Haven","CT",""
20074,"283 LEGION AV","New Haven","CT",""
20075,"GREENWOOD ST","New Haven","CT",""
20076,"59 SHERMAN AV","New Haven","CT",""
20077,"67 SHERMAN AV","New Haven","CT",""
20078,"71 SHERMAN AV","New Haven","CT",""
20079,"73 SHERMAN AV","New Haven","CT",""
20080,"75 SHERMAN AV","New Haven","CT",""
20081,"81 SHERMAN AV","New Haven","CT",""
20082,"85 SHERMAN AV","New Haven","CT",""
20083,"89 SHERMAN AV","New Haven","CT",""
20084,"106 GILBERT AV","New Haven","CT",""
20085,"100 GILBERT AV","New Haven","CT",""
20086,"87 SHERMAN AV","New Haven","CT",""
20087,"98 GILBERT AV","New Haven","CT",""
20088,"92 GILBERT AV","New Haven","CT",""
20089,"144 GREENWOOD ST","New Haven","CT",""
20090,"142 GREENWOOD ST","New Haven","CT",""
20091,"136 GREENWOOD ST","New Haven","CT",""
20092,"132 GREENWOOD ST","New Haven","CT",""
20093,"128 GREENWOOD ST","New Haven","CT",""
20094,"124 GREENWOOD ST","New Haven","CT",""
20095,"120 GREENWOOD ST","New Haven","CT",""
20096,"116 GREENWOOD ST","New Haven","CT",""
20097,"112 GREENWOOD ST","New Haven","CT",""
20098,"108 GREENWOOD ST","New Haven","CT",""
20099,"121 SCRANTON ST","New Haven","CT",""
20100,"123 SCRANTON ST","New Haven","CT",""
20101,"127 SCRANTON ST","New Haven","CT",""
20102,"133 SCRANTON ST","New Haven","CT",""
20103,"137 SCRANTON ST","New Haven","CT",""
20104,"141 SCRANTON ST","New Haven","CT",""
20105,"41 SHERMAN AV","New Haven","CT",""
20106,"49 SHERMAN AV","New Haven","CT",""
20107,"51 SHERMAN AV","New Haven","CT",""
20108,"55 SHERMAN AV","New Haven","CT",""
20109,"136 SCRANTON ST","New Haven","CT",""
20110,"108 AUBURN ST","New Haven","CT",""
20111,"FAYETTE ST","New Haven","CT",""
20112,"109 LEGION AV","New Haven","CT",""
20113,"111 GREENWOOD ST","New Haven","CT",""
20114,"117 GREENWOOD ST","New Haven","CT",""
20115,"121 GREENWOOD ST","New Haven","CT",""
20116,"125 GREENWOOD ST","New Haven","CT",""
20117,"131 GREENWOOD ST","New Haven","CT",""
20118,"133 GREENWOOD ST","New Haven","CT",""
20119,"135 GREENWOOD ST","New Haven","CT",""
20120,"137 GREENWOOD ST","New Haven","CT",""
20121,"72 GILBERT AV","New Haven","CT",""
20122,"68 GILBERT AV","New Haven","CT",""
20123,"64 GILBERT AV","New Haven","CT",""
20124,"56 GILBERT AV","New Haven","CT",""
20125,"54 GILBERT AV","New Haven","CT",""
20126,"50 GILBERT AV","New Haven","CT",""
20127,"44 GILBERT AV","New Haven","CT",""
20128,"40 GILBERT AV","New Haven","CT",""
20129,"34 GILBERT AV","New Haven","CT",""
20130,"232 ORCHARD ST","New Haven","CT",""
20131,"220 ORCHARD ST","New Haven","CT",""
20132,"200 ORCHARD ST #101","New Haven","CT",""
20133,"200 ORCHARD ST #102","New Haven","CT",""
20134,"200 ORCHARD ST #103","New Haven","CT",""
20135,"200 ORCHARD ST #104","New Haven","CT",""
20136,"200 ORCHARD ST #105","New Haven","CT",""
20137,"200 ORCHARD ST #106","New Haven","CT",""
20138,"200 ORCHARD ST #107","New Haven","CT",""
20139,"200 ORCHARD ST #108","New Haven","CT",""
20140,"200 ORCHARD ST #109","New Haven","CT",""
20141,"200 ORCHARD ST #201","New Haven","CT",""
20142,"200 ORCHARD ST #202","New Haven","CT",""
20143,"200 ORCHARD ST #203","New Haven","CT",""
20144,"200 ORCHARD ST #204","New Haven","CT",""
20145,"200 ORCHARD ST #205","New Haven","CT",""
20146,"200 ORCHARD ST #206","New Haven","CT",""
20147,"200 ORCHARD ST #207","New Haven","CT",""
20148,"200 ORCHARD ST #208","New Haven","CT",""
20149,"200 ORCHARD ST #209","New Haven","CT",""
20150,"200 ORCHARD ST #301","New Haven","CT",""
20151,"200 ORCHARD ST #302","New Haven","CT",""
20152,"200 ORCHARD ST #303","New Haven","CT",""
20153,"200 ORCHARD ST #304","New Haven","CT",""
20154,"200 ORCHARD ST #305","New Haven","CT",""
20155,"200 ORCHARD ST #306","New Haven","CT",""
20156,"200 ORCHARD ST #307","New Haven","CT",""
20157,"200 ORCHARD ST #308","New Haven","CT",""
