"","pid","location","yearbuilt","totval","bedrooms","bathrooms","halfbaths","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","exval"
"27",27,"29 DOUGLASS AV","1940",170200,"4","1","0",63,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.12,"No Data for Extra Features"
"28",28,"32 URIAH ST",NA,60100,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,0.27,"No Data for Extra Features"
"29",29,"24 URIAH ST","1975",169100,"3","1","0",71,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.13,"No Data for Extra Features"
"30",30,"20 URIAH ST","1969",151500,"3","1","0",65,"Raised Ranch","Single Family","Average",1,"None","Average","Average",0.13,"No Data for Extra Features"
"31",31,"1 TOWNSEND AV","1930",165600,"2","1","0",68,"Ranch","Single Family","Average",1,"None","Average","Average",0.18,"3200"
"32",32,"1 TOWNSEND AV #A","1938",173100,"2","1","0",68,"Ranch","Single Family","Average",1,"Central","Average","Average",0.19,"3200"
"33",33,"1 TOWNSEND AV #B","1952",203400,"3","1","1",78,"Ranch","Single Family","Average",1,"None","Average","Average",0.19,"3700"
"34",34,"9 TOWNSEND AV","1927",183400,"3","1","1",78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.12,"No Data for Extra Features"
"35",35,"17 JOHNSTON ST","1935",166900,"3","1","1",63,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.29,"No Data for Extra Features"
"36",36,"30 DOUGLASS AV","1920",151800,"3","1","0",73,"Colonial","Single Family","Average",1,"None","Average","Average",0.14,"3400"
"37",37,"24 DOUGLASS AV","1930",188100,"3","1","0",75,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.14,"3500"
"38",38,"20 DOUGLASS AV","1930",183000,"3","1","0",65,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.14,"No Data for Extra Features"
"39",39,"3 TOWNSEND AV","1935",275200,"5","2","0",78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.28,"No Data for Extra Features"
"40",40,"3A TOWNSEND AV","1954",160100,"3","1","0",68,"Ranch","Single Family","Average",1,"Central","Average","Average",0.16,"No Data for Extra Features"
"41",41,"5 TOWNSEND AV","1920",165200,"1","1","1",78,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.15,"No Data for Extra Features"
"42",42,"7 TOWNSEND AV","1920",196100,"3","1","1",78,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.14,"No Data for Extra Features"
"43",43,"MORRIS CSWY",NA,3306600,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,10,"No Data for Extra Features"
"44",44,"URIAH ST",NA,5978300,NA,NA,NA,NA,"Vacant Land",NA,NA,NA,NA,NA,NA,18.08,"No Data for Extra Features"
"45",45,"MORRIS CSWY",NA,63100,NA,NA,NA,NA,"Outbuildings",NA,NA,NA,NA,NA,NA,0.18,"No Data for Extra Features"
"46",46,"25 TOWNSEND AV","1976",378500,"0","0",NA,68,NA,NA,NA,1,NA,NA,NA,0.44,"No Data for Extra Features"
"47",47,"19 MORRIS CSWY","1938",180300,"2","2","0",63,"Cape Cod","Single Family","Average",1,"Central","Average","Average",0.22,"No Data for Extra Features"
