"pid","location","city","state","zip"
138,"675 TOWNSEND AV #118","New Haven","CT",""
139,"675 TOWNSEND AV #119","New Haven","CT",""
140,"675 TOWNSEND AV #120","New Haven","CT",""
141,"675 TOWNSEND AV #121","New Haven","CT",""
142,"675 TOWNSEND AV #132","New Haven","CT",""
143,"675 TOWNSEND AV #133","New Haven","CT",""
144,"675 TOWNSEND AV #134","New Haven","CT",""
145,"675 TOWNSEND AV #135","New Haven","CT",""
146,"675 TOWNSEND AV #136","New Haven","CT",""
147,"675 TOWNSEND AV #137","New Haven","CT",""
148,"675 TOWNSEND AV #138","New Haven","CT",""
149,"675 TOWNSEND AV #139","New Haven","CT",""
150,"675 TOWNSEND AV #140","New Haven","CT",""
151,"675 TOWNSEND AV #141","New Haven","CT",""
152,"675 TOWNSEND AV #142","New Haven","CT",""
153,"675 TOWNSEND AV #143","New Haven","CT",""
154,"675 TOWNSEND AV #154","New Haven","CT",""
155,"675 TOWNSEND AV #155","New Haven","CT",""
156,"675 TOWNSEND AV #156","New Haven","CT",""
157,"675 TOWNSEND AV #157","New Haven","CT",""
158,"675 TOWNSEND AV #158","New Haven","CT",""
159,"675 TOWNSEND AV #159","New Haven","CT",""
160,"675 TOWNSEND AV #160","New Haven","CT",""
161,"675 TOWNSEND AV #161","New Haven","CT",""
162,"675 TOWNSEND AV #162","New Haven","CT",""
163,"675 TOWNSEND AV #163","New Haven","CT",""
164,"675 TOWNSEND AV #164","New Haven","CT",""
165,"675 TOWNSEND AV #165","New Haven","CT",""
166,"675 TOWNSEND AV #166","New Haven","CT",""
167,"675 TOWNSEND AV #167","New Haven","CT",""
168,"675 TOWNSEND AV #168","New Haven","CT",""
169,"675 TOWNSEND AV #169","New Haven","CT",""
170,"675 TOWNSEND AV #170","New Haven","CT",""
171,"675 TOWNSEND AV #171","New Haven","CT",""
172,"675 TOWNSEND AV #178","New Haven","CT",""
173,"675 TOWNSEND AV #179","New Haven","CT",""
174,"675 TOWNSEND AV #180","New Haven","CT",""
175,"675 TOWNSEND AV #181","New Haven","CT",""
176,"675 TOWNSEND AV #190","New Haven","CT",""
177,"675 TOWNSEND AV #191","New Haven","CT",""
178,"675 TOWNSEND AV #192","New Haven","CT",""
179,"675 TOWNSEND AV #193","New Haven","CT",""
180,"675 TOWNSEND AV #186","New Haven","CT",""
181,"675 TOWNSEND AV #187","New Haven","CT",""
182,"675 TOWNSEND AV #188","New Haven","CT",""
