"pctgood","acres","exval","occupancy","location"
"55","0.09",NA,"2","164 DOVER ST"
"55","0.09",NA,"2","160 DOVER ST"
"90","0.08",NA,"2","222 ATWATER ST"
"68","0.09",NA,"2","218 ATWATER ST"
"68","0.1",NA,"2","155 ENGLISH ST"
"90","0.09","3700","3","159 ENGLISH ST"
"68","0.09",NA,"2","163 ENGLISH ST"
"68","0.12",NA,"3","167 ENGLISH ST"
"89","0.12",NA,"3","171 ENGLISH ST"
"55","0.12",NA,"2","175 ENGLISH ST"
"55","0.12",NA,"2","179 ENGLISH ST"
"68","0.12",NA,"2","183 ENGLISH ST"
"55","0.11",NA,"2","187 ENGLISH ST"
"68","0.11",NA,"2","191 ENGLISH ST"
"68","0.11",NA,"3","195 ENGLISH ST"
"68","0.1",NA,"3","143 ROWE ST"
"68","0.07",NA,"2","147 ROWE ST"
"68","0.08",NA,"3","211 ATWATER ST"
"55","0.14",NA,"1","148 DOVER ST"
"68","0.07",NA,"1","146 DOVER ST"
"78","0.08",NA,"2","142 DOVER ST"
"68","0.11",NA,"2","138 DOVER ST"
NA,"0.02",NA,NA,"27 CLINTON PL"
"68","0.34",NA,"2","203 ATWATER ST"
"68","0.08",NA,"2","205 ATWATER ST"
"45","0.08",NA,"2","207 ATWATER ST"
"78","0.16","3700","1","270 CLINTON AV"
"55","0.15",NA,"3","276 CLINTON AV"
"68","0.14",NA,"3","278 CLINTON AV"
"82","2.78","323000","1","293 CLINTON AV"
NA,"2.42",NA,NA,"28 BAILEY ST"
NA,"7.58",NA,NA,"CLINTON AV"
"58","0.18",NA,"1","199 DOVER ST"
"27","0.08",NA,"1","193 DOVER ST"
"78","0.21",NA,"2","185 DOVER ST"
"58","0.11",NA,"2","181 DOVER ST"
"58","0.19",NA,"2","175 DOVER ST"
"55","0.14",NA,"2","242 ATWATER ST"
"73","0.13",NA,"2","244 ATWATER ST"
"63","0.07",NA,"2","246 ATWATER ST"
"58","0.05",NA,"1","34 WILCOX PL"
"58","0.1",NA,"2","248 ATWATER ST"
"73","0.18",NA,"2","159 DOVER ST"
"58","0.16",NA,"6","153 DOVER ST"
"63","0.11",NA,"4","149 DOVER ST"
"63","0.21",NA,"3","141 DOVER ST"
"63","0.08",NA,"1","139 DOVER ST"
"63","0.08",NA,"2","135 DOVER ST"
"45","0.09",NA,"1","247 ATWATER ST"
"68","0.07",NA,"1","7 WILCOX PL"
"45","0.07",NA,"1","5 WILCOX PL"
"45","0.08",NA,"1","1 WILCOX PL"
"68","0.25",NA,"2","306 CLINTON AV"
"63","0.32",NA,"2","296 CLINTON AV"
"63","0.1",NA,"3","290 CLINTON AV"
"50","0.08",NA,"3","286 CLINTON AV"
"60","0.04",NA,"1","284 CLINTON AV"
NA,"0.04",NA,NA,"65 BAILEY ST"
NA,"0.04",NA,NA,"63 BAILEY ST"
NA,"0.17",NA,NA,"BAILEY ST"
"65","0.38",NA,"10","41 BAILEY ST"
"80","0.12",NA,"2","31 BAILEY ST"
"58","0.23",NA,"1","21 BAILEY ST"
NA,"1",NA,NA,"CLINTON AV"
NA,"1",NA,NA,"CLINTON AV"
NA,"0.07",NA,NA,"201 ATWATER ST"
"68","0.14",NA,"3","137 ENGLISH ST"
"68","0.14",NA,"3","141 ENGLISH ST"
"55","0.15",NA,"2","145 ENGLISH ST"
"78","0.15",NA,"2","197 ATWATER ST"
"68","0.08",NA,"2","199 ATWATER ST"
"68","0.16",NA,"1","256 CLINTON AV"
"55","0.16",NA,"2","260 CLINTON AV"
"78","0.13",NA,"3","264 CLINTON AV"
"68","0.15",NA,"1","71 LOMBARD ST"
"78","0.12",NA,"2","105 DOWNING ST"
NA,NA,NA,NA,NA
NA,"3.91",NA,NA,"378 FRONT ST"
NA,"0.84",NA,NA,"374 FRONT ST"
"68","0.14",NA,"1","370 FRONT ST"
"68","0.11",NA,"2","366 FRONT ST"
"90","0.1",NA,"1","360 FRONT ST"
"68","0.12",NA,"1","13 LOMBARD ST"
"68","0.12",NA,"1","17 LOMBARD ST"
"68","0.12",NA,"1","21 LOMBARD ST"
"78","0.12",NA,"1","27 LOMBARD ST"
"68","0.12",NA,"1","31 LOMBARD ST"
"68","0.12",NA,"1","37 LOMBARD ST"
NA,NA,NA,NA,NA
"68","0.12",NA,"1","45 LOMBARD ST"
"78","0.15",NA,"3","57 LOMBARD ST"
"55","0.17",NA,"3","63 LOMBARD ST"
NA,"2.16",NA,NA,"FRONT ST"
"58","0.13",NA,"2","436 FRONT ST"
"68","0.16",NA,"1","440 FRONT ST"
"55","0.1",NA,"3","192 CHATHAM ST"
"68","0.1",NA,"3","188 CHATHAM ST"
"68","0.1",NA,"3","184 CHATHAM ST"
"68","0.14",NA,"2","180 CHATHAM ST"
"68","0.14",NA,"2","176 CHATHAM ST"
"68","0.14",NA,"2","172 CHATHAM ST"
"68","0.14",NA,"3","168 CHATHAM ST"
"68","0.1",NA,"3","138 ATWATER ST"
"68","0.1",NA,"2","134 ATWATER ST"
"55","0.1",NA,"2","130 ATWATER ST"
"68","0.12",NA,"3","126 ATWATER ST"
"68","0.13",NA,"2","124 ATWATER ST"
"68","0.08",NA,"3","122 ATWATER ST"
"68","0.09",NA,"2","120 ATWATER ST"
"68","0.11",NA,"2","118 ATWATER ST"
"55","0.14",NA,"3","119 GRAFTON ST"
"68","0.15",NA,"3","123 GRAFTON ST"
"68","0.12",NA,"2","125 GRAFTON ST"
"68","0.12",NA,"2","129 GRAFTON ST"
"68","0.12",NA,"2","133 GRAFTON ST"
"68","0.07",NA,"2","29 ROWE ST"
"78","0.08",NA,"2","33 ROWE ST"
"68","0.08",NA,"2","37 ROWE ST"
"68","0.13",NA,"2","41 ROWE ST"
"78","0.12",NA,"3","45 ROWE ST"
"68","0.08",NA,"2","156 CHATHAM ST"
"68","0.08",NA,"2","152 CHATHAM ST"
"68","0.08",NA,"2","148 CHATHAM ST"
"68","0.08",NA,"2","144 CHATHAM ST"
"68","0.14",NA,"2","140 CHATHAM ST"
"68","0.12",NA,"3","136 CHATHAM ST"
"68","0.14",NA,"1","134 CHATHAM ST"
"68","0.1",NA,"2","182 CLINTON AV"
"55","0.21","2900","2","176 CLINTON AV"
"68","0.15",NA,"3","168 CLINTON AV"
"68","0.28",NA,"2","164 CLINTON AV"
"68","0.14",NA,"3","154 CLINTON AV"
"68","0.13",NA,"3","79 GRAFTON ST"
"68","0.14",NA,"3","83 GRAFTON ST"
"78","0.17",NA,"1","87 GRAFTON ST"
"68","0.25","3200","2","123 ATWATER ST"
"68","0.15",NA,"3","127 ATWATER ST"
"78","0.15",NA,"3","131 ATWATER ST"
"68","0.16",NA,"2","137 ATWATER ST"
NA,"2.35",NA,NA,"CLINTON AV"
"68","0.09",NA,"4","57 MALTBY ST"
"55","0.1",NA,"3","64 CHATHAM ST"
"68","0.1",NA,"3","60 CHATHAM ST"
"68","0.1",NA,"1","66 DOWNING ST"
"68","0.1",NA,"1","62 DOWNING ST"
"68","0.1",NA,"1","58 DOWNING ST"
"68","0.13",NA,"1","54 DOWNING ST"
"78","0.09",NA,"1","50 DOWNING ST"
"68","0.09","3200","1","46 DOWNING ST"
"78","0.09",NA,"1","44 DOWNING ST"
"68","0.09",NA,"2","40 DOWNING ST"
"55","0.15",NA,"2","7 GRAFTON ST"
"68","0.15","3200","1","17 GRAFTON ST"
"68","0.09",NA,"3","29 MALTBY ST"
"68","0.1",NA,"2","33 MALTBY ST"
"68","0.1",NA,"2","37 MALTBY ST"
"78","0.1",NA,"2","41 MALTBY ST"
"78","0.13",NA,"3","45 MALTBY ST"
"68","0.1",NA,"3","49 MALTBY ST"
"90","0.1",NA,"3","53 MALTBY ST"
"68","0.11",NA,"3","284 LOMBARD ST"
"68","0.1",NA,"3","278 LOMBARD ST"
"68","0.1",NA,"3","272 LOMBARD ST"
"68","0.1",NA,"3","268 LOMBARD ST"
"68","0.12",NA,"2","264 LOMBARD ST"
"78","0.12",NA,"2","260 LOMBARD ST"
"78","0.12",NA,"3","256 LOMBARD ST"
"55","0.12",NA,"3","252 LOMBARD ST"
"68","0.1",NA,"3","248 LOMBARD ST"
"68","0.1",NA,"2","244 LOMBARD ST"
"68","0.11",NA,"3","240 LOMBARD ST"
"68","0.09",NA,"2","160 ATWATER ST"
"68","0.1",NA,"2","156 ATWATER ST"
"68","0.11",NA,"3","155 CHATHAM ST"
"78","0.1",NA,"2","159 CHATHAM ST"
"68","0.1",NA,"2","163 CHATHAM ST"
"78","0.13",NA,"3","167 CHATHAM ST"
"68","0.13",NA,"4","169 CHATHAM ST"
"68","0.13",NA,"2","171 CHATHAM ST"
"68","0.13",NA,"2","175 CHATHAM ST"
"55","0.13",NA,"2","179 CHATHAM ST"
"68","0.1",NA,"2","183 CHATHAM ST"
"68","0.1",NA,"3","187 CHATHAM ST"
"78","0.11",NA,"3","191 CHATHAM ST"
"68","0.09",NA,"3","69 ROWE ST"
"68","0.09",NA,"3","73 ROWE ST"
"68","0.19",NA,"3","222 LOMBARD ST"
"68","0.11",NA,"3","218 LOMBARD ST"
"68","0.14",NA,"2","214 LOMBARD ST"
"68","0.14",NA,"3","210 LOMBARD ST"
"68","0.14",NA,"2","206 LOMBARD ST"
"78","0.16",NA,"3","202 LOMBARD ST"
"78","0.1",NA,"3","212 CLINTON AV"
"68","0.1",NA,"2","208 CLINTON AV"
"68","0.1",NA,"3","204 CLINTON AV"
"68","0.1",NA,"2","200 CLINTON AV"
"68","0.1",NA,"3","196 CLINTON AV"
"90","0.1",NA,"2","192 CLINTON AV"
"78","0.1",NA,"3","188 CLINTON AV"
"68","0.1",NA,"3","184 CLINTON AV"
"78","0.15",NA,"3","125 CHATHAM ST"
"68","0.21",NA,"4","129 CHATHAM ST"
"68","0.22",NA,"1","141 CHATHAM ST"
"78","0.09",NA,"2","147 ATWATER ST"
"68","0.09",NA,"2","151 ATWATER ST"
"68","0.09",NA,"2","155 ATWATER ST"
"68","0.09",NA,"3","159 ATWATER ST"
"68","0.09",NA,"3","163 ATWATER ST"
"68","0.07",NA,"1","168 LOMBARD ST"
"68","0.07",NA,"1","164 LOMBARD ST"
"68","0.07",NA,"1","158 LOMBARD ST"
"68","0.14",NA,"2","150 LOMBARD ST"
"68","0.13",NA,"2","146 LOMBARD ST"
"78","0.13",NA,"3","142 LOMBARD ST"
"78","0.13",NA,"2","138 LOMBARD ST"
"68","0.13",NA,"2","134 LOMBARD ST"
"68","0.13",NA,"3","130 LOMBARD ST"
"63","0.16",NA,"6","81 CHATHAM ST"
"68","0.17",NA,"3","87 CHATHAM ST"
"68","0.14",NA,"2","91 CHATHAM ST"
"68","0.14",NA,"3","95 CHATHAM ST"
"68","0.12",NA,"2","99 CHATHAM ST"
"68","0.12",NA,"3","101 CHATHAM ST"
"68","0.08",NA,"3","181 CLINTON AV"
"68","0.08",NA,"3","185 CLINTON AV"
"68","0.08",NA,"3","191 CLINTON AV"
"68","0.08",NA,"3","195 CLINTON AV"
"68","0.1",NA,"3","199 CLINTON AV"
"68","0.1",NA,"3","203 CLINTON AV"
"68","0.07",NA,"2","87 MALTBY ST"
"68","0.24",NA,"2","102 LOMBARD ST"
"68","0.09",NA,"3","98 LOMBARD ST"
"68","0.09",NA,"2","90 LOMBARD ST"
"68","0.09",NA,"2","86 LOMBARD ST"
"78","0.09",NA,"2","82 LOMBARD ST"
"55","0.12",NA,"2","84 DOWNING ST"
"68","0.06",NA,"1","80 DOWNING ST"
"68","0.13",NA,"3","51 CHATHAM ST"
"90","0.13",NA,"2","59 CHATHAM ST"
"68","0.13",NA,"1","63 CHATHAM ST"
"68","0.19",NA,"2","65 CHATHAM ST"
"68","0.2","3200","2","73 CHATHAM ST"
"80","0.11",NA,"1","75 MALTBY ST"
"68","0.07",NA,"1","77 MALTBY ST"
"68","0.05",NA,"1","83 MALTBY ST"
NA,"0.05",NA,NA,"85 MALTBY ST"
"68","0.16",NA,"3","200 PECK ST"
"68","0.13",NA,"2","196 PECK ST"
"68","0.13",NA,"2","190 PECK ST"
"68","0.13",NA,"2","188 PECK ST"
"78","0.13",NA,"1","184 PECK ST"
"68","0.14",NA,"2","180 PECK ST"
"55","0.13",NA,"2","170 PECK ST"
"68","0.08",NA,"2","168 PECK ST"
"68","0.08",NA,"2","166 PECK ST"
"68","0.08",NA,"2","164 PECK ST"
"78","0.12",NA,"2","192 ATWATER ST"
"60","0.05",NA,"1","188 ATWATER ST"
"55","0.08",NA,"1","239 LOMBARD ST"
"78","0.13",NA,"1","243 LOMBARD ST"
"68","0.13",NA,"3","249 LOMBARD ST"
"68","0.13",NA,"3","253 LOMBARD ST"
"55","0.13",NA,"2","257 LOMBARD ST"
"68","0.16",NA,"3","265 LOMBARD ST"
"78","0.11",NA,"2","269 LOMBARD ST"
"78","0.11",NA,"2","273 LOMBARD ST"
"55","0.11",NA,"2","279 LOMBARD ST"
"68","0.16",NA,"2","285 LOMBARD ST"
"68","0.08",NA,"1","195 ATWATER ST"
"68","0.1",NA,"1","152 PECK ST"
"68","0.11",NA,"1","148 PECK ST"
"68","0.13",NA,"1","144 PECK ST"
"68","0.13",NA,"1","140 PECK ST"
"68","0.14",NA,"2","136 PECK ST"
"68","0.22",NA,"2","240 CLINTON AV"
"68","0.17",NA,"1","238 CLINTON AV"
"68","0.14",NA,"2","226 CLINTON AV"
"68","0.08",NA,"3","175 LOMBARD ST"
"68","0.08",NA,"3","181 LOMBARD ST"
"68","0.08",NA,"2","189 LOMBARD ST"
"68","0.13",NA,"2","193 LOMBARD ST"
"68","0.16",NA,"3","201 LOMBARD ST"
"68","0.13",NA,"3","205 LOMBARD ST"
"68","0.13",NA,"3","209 LOMBARD ST"
"68","0.13",NA,"3","217 LOMBARD ST"
"68","0.11",NA,"1","223 LOMBARD ST"
"78","0.11",NA,"1","227 LOMBARD ST"
"68","0.08",NA,"1","189 ATWATER ST"
"68","0.08",NA,"1","191 ATWATER ST"
"68","0.08",NA,"1","193 ATWATER ST"
"68","0.11",NA,"3","239 CLINTON AV"
"55","0.14",NA,"3","110 PECK ST"
"90","0.15",NA,"2","106 PECK ST"
"68","0.15",NA,"3","102 PECK ST"
"60","0.33",NA,"16","110 MALTBY ST"
"60","0.28",NA,"2","129 LOMBARD ST"
"68","0.17",NA,"3","139 LOMBARD ST"
"78","0.19",NA,"1","147 LOMBARD ST"
"37","0.08",NA,"3","153 LOMBARD ST"
"78","0.08",NA,"3","159 LOMBARD ST"
"55","0.09",NA,"2","163 LOMBARD ST"
"68","0.11",NA,"3","167 LOMBARD ST"
"68","0.15",NA,"3","223 CLINTON AV"
"68","0.1",NA,"3","227 CLINTON AV"
"78","0.1",NA,"3","231 CLINTON AV"
"68","0.1",NA,"3","235 CLINTON AV"
"68","0.16",NA,"2","82 PECK ST"
NA,"0.08",NA,NA,"80 PECK ST #80.5"
"78","0.08",NA,"1","80 PECK ST"
"78","0.08",NA,"2","76 PECK ST"
"68","0.1",NA,"2","74 PECK ST"
"37","0.14",NA,"1","70 PECK ST"
NA,"0.32",NA,NA,"60 PECK ST"
NA,"0.17",NA,NA,"83 LOMBARD ST"
"68","0.17",NA,"1","89 LOMBARD ST"
"68","0.17",NA,"3","95 LOMBARD ST"
"63","0.21",NA,"6","103 LOMBARD ST"
"68","0.11",NA,"1","109 LOMBARD ST"
"78","0.1",NA,"1","117 LOMBARD ST"
"55","0.06",NA,"1","103 MALTBY ST"
"88","0.18",NA,"1","333 FRONT ST"
"96","0.06",NA,"1","331 FRONT ST"
"78","0.07",NA,"2","329 FRONT ST"
"70","0.3","16400","1","315 FRONT ST"
NA,"0.13",NA,NA,"313 FRONT ST"
"96","0.74",NA,"2","307 FRONT ST"
NA,"0.27",NA,NA,"289 FRONT ST"
"78","0.21",NA,"2","149 CLINTON AV"
"68","0.1",NA,"2","68 GRAFTON ST"
"68","0.18","3200","3","44 GRAFTON ST"
"68","0.15",NA,"2","40 GRAFTON ST"
"68","0.1",NA,"2","36 GRAFTON ST"
"68","0.1",NA,"2","32 GRAFTON ST"
"37","0.11","1700","2","16 MALTBY ST"
"68","0.17","3200","1","49 PINE ST"
"78","0.1",NA,"2","55 PINE ST"
"78","0.1",NA,"2","57 PINE ST"
"55","0.1",NA,"2","59 PINE ST"
"78","0.14",NA,"2","61 PINE ST"
"68","0.23",NA,"2","127 CLINTON AV"
"68","0.23",NA,"2","135 CLINTON AV"
"68","0.1",NA,"2","139 CLINTON AV"
"68","0.12",NA,"2","141 CLINTON AV"
"78","0.11","3700","1","27 MALTBY ST"
"68","0.22",NA,"1","26 DOWNING ST"
"68","0.19",NA,"2","22 DOWNING ST"
"68","0.21",NA,"1","18 DOWNING ST"
"68","0.11",NA,"1","12 DOWNING ST"
"78","0.19",NA,"2","17 PINE ST"
"68","0.05",NA,"2","25 PINE ST"
"60","0.24",NA,"1","27 PINE ST"
"85","0.14",NA,"6","33 PINE ST"
"68","0.07",NA,"2","39 PINE ST"
"78","0.07",NA,"3","41 PINE ST"
"68","0.13",NA,"1","13 MALTBY ST"
"68","0.13",NA,"2","17 MALTBY ST"
"68","0.17",NA,"2","23 MALTBY ST"
"55","0.08",NA,"1","67 DOWNING ST"
"78","0.15",NA,"1","36 CHATHAM ST"
"68","0.17",NA,"2","32 CHATHAM ST"
"90","0.11",NA,"1","28 CHATHAM ST"
"68","0.14",NA,"1","24 CHATHAM ST"
"68","0.2",NA,"1","18 CHATHAM ST"
"68","0.22",NA,"2","332 FRONT ST"
"78","0.56",NA,"1","318 FRONT ST"
"68","0.17",NA,"1","314 FRONT ST"
"78","0.16",NA,"1","310 FRONT ST"
"90","0.17",NA,"1","306 FRONT ST"
"78","0.17",NA,"1","302 FRONT ST"
"68","0.23",NA,"1","298 FRONT ST"
"78","0.14",NA,"1","294 FRONT ST"
"68","0.12",NA,"1","292 FRONT ST"
"68","0.08","3200","1","288 FRONT ST"
"90","0.09","4200","1","280 FRONT ST"
"37","0.05",NA,"1","7 PINE ST"
"78","0.14",NA,"1","9 PINE ST"
"68","0.13",NA,"2","7 DOWNING ST"
"68","0.12",NA,"1","13 DOWNING ST"
"68","0.12",NA,"3","17 DOWNING ST"
"78","0.12",NA,"1","21 DOWNING ST"
"68","0.12",NA,"1","25 DOWNING ST"
"55","0.16","2600","2","31 DOWNING ST"
"68","0.12",NA,"1","33 DOWNING ST"
"68","0.11",NA,"1","35 DOWNING ST"
"78","0.15",NA,"1","41 DOWNING ST"
"68","0.15",NA,"1","47 DOWNING ST"
"82","0.15",NA,"1","51 DOWNING ST"
"90","0.09",NA,"1","55 DOWNING ST"
"68","0.09",NA,"1","61 DOWNING ST"
"68","0.09",NA,"1","63 DOWNING ST"
"73","0.18",NA,"1","95 DOWNING ST"
"78","0.09",NA,"2","58 LOMBARD ST"
"78","0.07",NA,"1","54 LOMBARD ST"
"96","0.25",NA,"4","42 LOMBARD ST"
NA,"0.16",NA,NA,"LOMBARD ST"
NA,NA,NA,NA,NA
"78","0.34",NA,"1","338 FRONT ST"
"68","0.13","3200","1","5 CHATHAM ST"
"68","0.1",NA,"1","7 CHATHAM ST"
"78","0.13",NA,"1","15 CHATHAM ST"
"55","0.22",NA,"2","23 CHATHAM ST"
"68","0.17","3200","1","29 CHATHAM ST"
"68","0.13","3200","1","33 CHATHAM ST"
"68","0.15",NA,"2","39 CHATHAM ST"
"68","0.09",NA,"2","69 DOWNING ST"
"68","0.11",NA,"2","75 DOWNING ST"
"68","0.14",NA,"1","79 DOWNING ST"
"37","0.17",NA,"1","83 DOWNING ST"
NA,"1.61",NA,NA,"FRONT ST"
NA,NA,NA,NA,NA
"68","0.13",NA,"3","88 PERKINS ST"
"78","0.17","3700","1","86 PERKINS ST"
"85","0.1",NA,"4","76 PERKINS ST"
"78","0.12",NA,"1","74 PERKINS ST"
"78","0.06",NA,"2","70 PERKINS ST"
"68","0.06",NA,"2","68 PERKINS ST"
"78","0.08",NA,"1","66 PERKINS ST"
"78","0.09",NA,"1","64 PERKINS ST"
"68","0.08",NA,"1","62 PERKINS ST"
"68","0.11",NA,"1","60 PERKINS ST"
"85","0.1",NA,"3","56 PERKINS ST"
"68","0.09",NA,"3","52 PERKINS ST"
"78","0.09",NA,"1","50 PERKINS ST"
NA,"0.1",NA,NA,"PERKINS ST"
"68","0.17","3200","1","48 PERKINS ST"
"68","0.15",NA,"2","40 PERKINS ST"
"78","0.11",NA,"1","36 PERKINS ST"
"68","0.09",NA,"2","34 PERKINS ST"
"78","0.11",NA,"1","32 PERKINS ST"
"78","0.1",NA,"2","28 PERKINS ST"
"68","0.09",NA,"2","24 PERKINS ST"
"60","0.61","57400","1","69 GRAND AV"
NA,"0.26",NA,NA,"PERKINS ST"
NA,"0.19",NA,NA,"19 CLINTON AV"
"77","0.2",NA,"2","29 CLINTON AV"
"78","0.13",NA,"2","35 CLINTON AV"
"90","0.27",NA,"2","41 CLINTON AV"
"78","0.2","3700","2","49 CLINTON AV"
"68","0.2",NA,"2","57 CLINTON AV"
"68","0.2",NA,"4","61 CLINTON AV"
"78","0.14",NA,"3","67 CLINTON AV"
"68","0.11",NA,"2","71 CLINTON AV"
"68","0.11",NA,"2","75 CLINTON AV"
"68","0.11",NA,"2","79 CLINTON AV"
"63","0.13",NA,"3","81 CLINTON AV"
"68","0.12",NA,"3","85 CLINTON AV"
"68","0.12",NA,"3","89 CLINTON AV"
"68","0.12",NA,"3","93 CLINTON AV"
"68","0.19",NA,"2","97 CLINTON AV"
"68","0.22","3200","1","103 CLINTON AV"
"68","0.29",NA,"1","111 CLINTON AV"
"68","0.33","3200","1","119 CLINTON AV"
"78","0.25",NA,"1","32 PINE ST"
"68","0.7","3200","1","16 LEWIS ST"
"78","0.06",NA,"1","14 LEWIS ST"
"68","0.06",NA,"1","12 LEWIS ST"
"68","0.05",NA,"1","8 LEWIS ST"
"78","0.05",NA,"1","6 LEWIS ST"
"90","0.24",NA,"1","4 LEWIS ST"
"55","0.13",NA,"2","2 LEWIS ST"
"68","0.23",NA,"1","240 FRONT ST"
"78","0.18",NA,"2","234 FRONT ST"
"78","0.18",NA,"2","232 FRONT ST"
"78","0.15","3700","1","228 FRONT ST"
"68","0.14",NA,"1","224 FRONT ST"
NA,"0.14",NA,NA,"218 FRONT ST"
NA,"0.16",NA,NA,"212 FRONT ST"
"96","0.08",NA,"1","210 FRONT ST"
"68","0.1",NA,"1","208 FRONT ST"
"78","0.09",NA,"2","204 FRONT ST"
"90","0.09","4200","1","200 FRONT ST"
"90","0.14","4200","1","198 FRONT ST"
"78","0.17",NA,"3","19 PERKINS ST"
"78","0.11",NA,"2","21 PERKINS ST"
"68","0.19","3200","1","31 PERKINS ST"
"78","0.28","3700","2","27 PERKINS ST"
"68","0.18",NA,"1","35 PERKINS ST"
"68","0.1",NA,"1","43 PERKINS ST"
"78","0.11",NA,"2","47 PERKINS ST"
"68","0.08",NA,"2","49 PERKINS ST"
"85","0.07",NA,"1","51 PERKINS ST"
"68","0.07",NA,"1","53 PERKINS ST"
"90","0.16","4200","1","55 PERKINS ST"
NA,NA,NA,NA,NA
"68","0.2",NA,"3","63 PERKINS ST"
"78","0.09",NA,"1","67 PERKINS ST"
"78","0.09",NA,"1","71 PERKINS ST"
"78","0.06",NA,"2","73 PERKINS ST"
"68","0.07",NA,"1","75 PERKINS ST"
"78","0.14",NA,"2","48 PINE ST"
"68","0.14",NA,"2","42 PINE ST"
"68","0.14",NA,"2","38 PINE ST"
"78","0.27","3700","2","36 PINE ST"
"60","0.33","5300","1","279 FRONT ST"
NA,"0.21",NA,NA,"273 FRONT ST"
NA,"0.1",NA,NA,"271 FRONT ST"
"63","0.16",NA,"1","269 FRONT ST"
"73","0.12",NA,"1","265 FRONT ST"
"60","0.11",NA,"1","263 FRONT ST"
NA,"0.09",NA,NA,"FRONT ST"
"78","0.1",NA,"1","259 FRONT ST"
"68","0.17",NA,"2","255 FRONT ST"
"78","0.13",NA,"1","253 FRONT ST"
NA,NA,NA,NA,NA
"90","0","4200","1","223 FRONT ST #C-1"
"90","0","4200","1","223 FRONT ST #C-2"
"90","0","4200","1","223 FRONT ST #C-3"
"93","0","4400","1","223 FRONT ST #C-4"
"90","0","4200","1","225 FRONT ST #D-1"
"90","0","4200","1","225 FRONT ST #D-2"
"90","0","4200","1","225 FRONT ST #D-3"
"90","0","4200","1","229 FRONT ST #B-1"
"90","0","4200","1","229 FRONT ST #B-2"
"90","0","4200","1","229 FRONT ST #B-3"
"90","0","4200","1","233 FRONT ST #E-1"
"90","0","4200","1","233 FRONT ST #E-2"
"90","0","4200","1","233 FRONT ST #E3-4"
"90","0","4200","1","235 FRONT ST #A-1"
"90","0","4200","1","235 FRONT ST #A-2"
"90","0","4200","1","239 FRONT ST #G-1"
"90","0","4200","1","239 FRONT ST #G-2"
"90","0","4200","1","239 FRONT ST #G-3"
"90","0","4200","1","239 FRONT ST #G-4"
"90","0","4200","1","243 FRONT ST #F-1"
"90","0","4200","1","243 FRONT ST #F-2"
"90","0","4200","1","243 FRONT ST #F-3"
NA,"0.67",NA,NA,"213 FRONT ST"
NA,NA,NA,NA,NA
"45","0.66","4900","7","185 FRONT ST"
NA,"0.11",NA,NA,"181 FRONT ST"
"79","0.12",NA,"8","1 GRAND AV"
"90","0.13",NA,"2","276 FRONT ST"
"78","0.18",NA,"3","272 FRONT ST"
"78","0.14",NA,"2","270 FRONT ST"
NA,"0.08",NA,NA,"FRONT ST"
"68","0.08",NA,"2","264 FRONT ST"
"78","0.11",NA,"1","260 FRONT ST"
"90","0.13",NA,"1","258 FRONT ST"
"68","0.24",NA,"1","254 FRONT ST"
NA,"0.31",NA,NA,"246 FRONT ST"
"98","0.06",NA,"1","13 LEWIS ST"
"90","0.1",NA,"1","15 LEWIS ST"
"90","0.14","4200","1","17 LEWIS ST"
"68","0.18","3200","1","21 LEWIS ST"
"55","0.05",NA,"2","28 PINE ST"
"78","0.06",NA,"2","24 PINE ST"
"68","0.13",NA,"1","16 PINE ST"
"78","0.16",NA,"1","8 PINE ST"
"78","0.24","3700","2","192 FRONT ST"
NA,NA,NA,NA,NA
"68","0.08",NA,"1","186 FRONT ST"
"68","0.04","6400","1","182 FRONT ST"
NA,"0.04",NA,NA,"FRONT ST"
"78","0.12",NA,"1","19 GRAND AV"
"78","0.07",NA,"1","29 GRAND AV"
"68","0.08",NA,"1","33 GRAND AV"
"68","0.23","6400","2","37 GRAND AV"
NA,"0.23",NA,NA,"47 GRAND AV"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
"68","0.05",NA,"1","98 PINE ST"
"68","0.09",NA,"3","92 ATWATER ST"
"68","0.14",NA,"2","88 ATWATER ST"
"68","0.11",NA,"3","84 ATWATER ST"
"68","0.11",NA,"2","80 ATWATER ST"
"55","0.11",NA,"2","76 ATWATER ST"
"68","0.12",NA,"2","72 ATWATER ST"
"55","0.12",NA,"2","68 ATWATER ST"
"68","0.1",NA,"3","66 ATWATER ST"
"78","0.1",NA,"2","64 ATWATER ST"
"68","0.1",NA,"1","62 ATWATER ST"
"68","0.09",NA,"2","60 ATWATER ST"
"68","0.09",NA,"2","58 ATWATER ST"
"68","0.14",NA,"2","56 ATWATER ST"
"90","0.18",NA,"2","46 ATWATER ST"
"72","0.16",NA,"2","50 ATWATER ST"
"78","0.37",NA,"3","40 ATWATER ST"
"78","0.31","11000","2","32 ATWATER ST"
"60","0.69",NA,"1","26 ATWATER ST"
"85","0.19",NA,"1","12 ATWATER ST"
"55","0.25",NA,"1","135 GRAND AV"
"65","0.13","12300","1","141 GRAND AV"
"78","0.15","3700","1","145 GRAND AV"
"60","1.06",NA,"1","GRAND AV"
"55","0.57",NA,"1","169 GRAND AV"
"70","0.24",NA,"1","175 GRAND AV"
"86","0.18",NA,"4","19 BRIGHT ST"
