"","lower_corner.latitude","lower_corner.longitude"
"1",41.24275,-72.97253
"2",41.25255,-72.972694
"3",41.25259,-72.97265
"4",41.252674,-72.97257
"5",41.25276,-72.97249
"6",41.252846,-72.972404
"7",41.26623,-72.94334
"8",41.26734,-72.94373
"9",41.26663,-72.94349
"10",41.27071,-72.947685
"11",41.270546,-72.94837
"12",41.26761,-72.95297
"13",41.236,-72.97933
"14",41.27333,-72.94474
"15",41.25321,-72.9669
